*******************************************************************************
JPL/HORIZONS                     (1997 XE10)               2020-Dec-13 21:56:05
Rec #:50001114 (+COV) Soln.date: 2020-Dec-13_05:25:01     # obs: 65 (1997-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455939.5 ! 2012-Jan-13.00 (TDB)         Residual RMS= .8901
   EC= .4768464358228017   QR= .97816947280305     TP= 2455475.9727327283
   OM= 72.65593582573342   W=  24.75136994310044   IN= 6.32246019281689
   A= 1.869755918305724    MA= 178.6907147245848   ADIST= 2.761342363808398
   PER= 2.55673            N= .385502046           ANGMOM= .020675507
   DAN= 1.00807            DDN= 2.54799            L= 97.2746657
   B= 2.6426649            MOID= .0156531          TP= 2010-Oct-06.4727327283
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 25.                  G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#14, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 21:56:05 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (1997 XE10)                     {source: JPL#14}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455939.5 ! 2012-Jan-13.00 (TDB)         Residual RMS= .8901         
   EC= .4768464358228017   QR= .97816947280305     TP= 2455475.9727327283      
   OM= 72.65593582573342   W=  24.75136994310044   IN= 6.32246019281689        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
