*******************************************************************************
JPL/HORIZONS                     (2019 YP5)                2020-Dec-13 14:01:59
Rec #:50477851 (+COV) Soln.date: 2020-Oct-07_06:58:17     # obs: 63 (2019-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458861.5 ! 2020-Jan-13.00 (TDB)         Residual RMS= .24597
   EC= .383967873179912    QR= .6021788018133598   TP= 2458971.5729581709
   OM= 318.2181658461175   W=  298.8173744364841   IN= 10.38555572347649
   A= .9775120088651252    MA= 247.7460686339049   ADIST= 1.352845215916891
   PER= .96648             N= 1.019813859          ANGMOM= .015703888
   DAN= .70324             DDN= 1.02267            L= 257.4370222
   B= -9.087722899999999   MOID= .0140063          TP= 2020-May-02.0729581709
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 22.3                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#14, OCC=4
2: source=ORB
*******************************************************************************
 
  
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 14:02:00 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2019 YP5)                      {source: JPL#14}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458861.5 ! 2020-Jan-13.00 (TDB)         Residual RMS= .24597        
   EC= .383967873179912    QR= .6021788018133598   TP= 2458971.5729581709      
   OM= 318.2181658461175   W=  298.8173744364841   IN= 10.38555572347649       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-4.635996471784295E-01  Y= 9.884386880165483E-01  Z= 5.335342442856511E-01
  VX=-1.025760658951841E-02 VY=-6.887971057893395E-03 VZ=-5.626271977890012E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 22.3                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     2.0049058869E+08 166.484537 -13.613451
 2014-Jan-02 00:00     2.0065881268E+08 166.797875 -13.217414
 2014-Jan-03 00:00     2.0081773689E+08 167.109683 -12.821650
 2014-Jan-04 00:00     2.0096736386E+08 167.420030 -12.426134
 2014-Jan-05 00:00     2.0110769595E+08 167.728983 -12.030843
 2014-Jan-06 00:00     2.0123873545E+08 168.036608 -11.635753
 2014-Jan-07 00:00     2.0136048444E+08 168.342971 -11.240842
 2014-Jan-08 00:00     2.0147294492E+08 168.648135 -10.846083
 2014-Jan-09 00:00     2.0157611871E+08 168.952163 -10.451454
 2014-Jan-10 00:00     2.0167000748E+08 169.255119 -10.056930
 2014-Jan-11 00:00     2.0175461277E+08 169.557064  -9.662487
 2014-Jan-12 00:00     2.0182993594E+08 169.858057  -9.268100
 2014-Jan-13 00:00     2.0189597823E+08 170.158160  -8.873744
 2014-Jan-14 00:00     2.0195274068E+08 170.457432  -8.479396
 2014-Jan-15 00:00     2.0200022422E+08 170.755931  -8.085029
 2014-Jan-16 00:00     2.0203842957E+08 171.053716  -7.690620
 2014-Jan-17 00:00     2.0206735732E+08 171.350844  -7.296143
 2014-Jan-18 00:00     2.0208700790E+08 171.647372  -6.901572
 2014-Jan-19 00:00     2.0209738156E+08 171.943358  -6.506883
 2014-Jan-20 00:00     2.0209847839E+08 172.238858  -6.112051
 2014-Jan-21 00:00     2.0209029834E+08 172.533928  -5.717049
 2014-Jan-22 00:00     2.0207284115E+08 172.828623  -5.321852
 2014-Jan-23 00:00     2.0204610645E+08 173.123000  -4.926435
 2014-Jan-24 00:00     2.0201009367E+08 173.417113  -4.530770
 2014-Jan-25 00:00     2.0196480209E+08 173.711018  -4.134834
 2014-Jan-26 00:00     2.0191023082E+08 174.004771  -3.738598
 2014-Jan-27 00:00     2.0184637882E+08 174.298426  -3.342038
 2014-Jan-28 00:00     2.0177324489E+08 174.592038  -2.945126
 2014-Jan-29 00:00     2.0169082767E+08 174.885663  -2.547836
 2014-Jan-30 00:00     2.0159912563E+08 175.179356  -2.150142
 2014-Jan-31 00:00     2.0149813711E+08 175.473173  -1.752016
 2014-Feb-01 00:00     2.0138786028E+08 175.767168  -1.353432
 2014-Feb-02 00:00     2.0126829317E+08 176.061398  -0.954362
 2014-Feb-03 00:00     2.0113943365E+08 176.355919  -0.554779
 2014-Feb-04 00:00     2.0100127946E+08 176.650788  -0.154656
 2014-Feb-05 00:00     2.0085382818E+08 176.946060   0.246035
 2014-Feb-06 00:00     2.0069707728E+08 177.241794   0.647322
 2014-Feb-07 00:00     2.0053102408E+08 177.538047   1.049232
 2014-Feb-08 00:00     2.0035566576E+08 177.834876   1.451793
 2014-Feb-09 00:00     2.0017099938E+08 178.132342   1.855035
 2014-Feb-10 00:00     1.9997702190E+08 178.430503   2.258985
 2014-Feb-11 00:00     1.9977373014E+08 178.729420   2.663672
 2014-Feb-12 00:00     1.9956112081E+08 179.029152   3.069125
 2014-Feb-13 00:00     1.9933919052E+08 179.329763   3.475372
 2014-Feb-14 00:00     1.9910793579E+08 179.631314   3.882443
 2014-Feb-15 00:00     1.9886735302E+08 179.933868   4.290367
 2014-Feb-16 00:00     1.9861743855E+08 180.237490   4.699174
 2014-Feb-17 00:00     1.9835818863E+08 180.542246   5.108894
 2014-Feb-18 00:00     1.9808959942E+08 180.848201   5.519556
 2014-Feb-19 00:00     1.9781166705E+08 181.155423   5.931190
 2014-Feb-20 00:00     1.9752438757E+08 181.463982   6.343828
 2014-Feb-21 00:00     1.9722775698E+08 181.773947   6.757498
 2014-Feb-22 00:00     1.9692177125E+08 182.085390   7.172232
 2014-Feb-23 00:00     1.9660642632E+08 182.398385   7.588062
 2014-Feb-24 00:00     1.9628171812E+08 182.713004   8.005017
 2014-Feb-25 00:00     1.9594764255E+08 183.029326   8.423129
 2014-Feb-26 00:00     1.9560419554E+08 183.347428   8.842430
 2014-Feb-27 00:00     1.9525137302E+08 183.667388   9.262952
 2014-Feb-28 00:00     1.9488917094E+08 183.989291   9.684725
 2014-Mar-01 00:00     1.9451758531E+08 184.313218  10.107783
 2014-Mar-02 00:00     1.9413661220E+08 184.639256  10.532157
 2014-Mar-03 00:00     1.9374624772E+08 184.967492  10.957879
 2014-Mar-04 00:00     1.9334648810E+08 185.298018  11.384983
 2014-Mar-05 00:00     1.9293732965E+08 185.630925  11.813501
 2014-Mar-06 00:00     1.9251876882E+08 185.966310  12.243465
 2014-Mar-07 00:00     1.9209080216E+08 186.304270  12.674908
 2014-Mar-08 00:00     1.9165342643E+08 186.644907  13.107865
 2014-Mar-09 00:00     1.9120663852E+08 186.988323  13.542367
 2014-Mar-10 00:00     1.9075043555E+08 187.334628  13.978447
 2014-Mar-11 00:00     1.9028481483E+08 187.683930  14.416140
 2014-Mar-12 00:00     1.8980977395E+08 188.036344  14.855479
 2014-Mar-13 00:00     1.8932531073E+08 188.391987  15.296496
 2014-Mar-14 00:00     1.8883142330E+08 188.750980  15.739226
 2014-Mar-15 00:00     1.8832811013E+08 189.113450  16.183701
 2014-Mar-16 00:00     1.8781537000E+08 189.479526  16.629955
 2014-Mar-17 00:00     1.8729320210E+08 189.849341  17.078021
 2014-Mar-18 00:00     1.8676160601E+08 190.223034  17.527932
 2014-Mar-19 00:00     1.8622058177E+08 190.600750  17.979722
 2014-Mar-20 00:00     1.8567012990E+08 190.982637  18.433421
 2014-Mar-21 00:00     1.8511025141E+08 191.368849  18.889064
 2014-Mar-22 00:00     1.8454094788E+08 191.759546  19.346682
 2014-Mar-23 00:00     1.8396222150E+08 192.154894  19.806306
 2014-Mar-24 00:00     1.8337407508E+08 192.555066  20.267968
 2014-Mar-25 00:00     1.8277651210E+08 192.960240  20.731699
 2014-Mar-26 00:00     1.8216953679E+08 193.370603  21.197529
 2014-Mar-27 00:00     1.8155315415E+08 193.786348  21.665487
 2014-Mar-28 00:00     1.8092737002E+08 194.207675  22.135601
 2014-Mar-29 00:00     1.8029219112E+08 194.634795  22.607900
 2014-Mar-30 00:00     1.7964762510E+08 195.067926  23.082410
 2014-Mar-31 00:00     1.7899368066E+08 195.507293  23.559157
 2014-Apr-01 00:00     1.7833036751E+08 195.953135  24.038165
 2014-Apr-02 00:00     1.7765769656E+08 196.405698  24.519456
 2014-Apr-03 00:00     1.7697567988E+08 196.865239  25.003053
 2014-Apr-04 00:00     1.7628433085E+08 197.332027  25.488975
 2014-Apr-05 00:00     1.7558366422E+08 197.806343  25.977239
 2014-Apr-06 00:00     1.7487369617E+08 198.288480  26.467861
 2014-Apr-07 00:00     1.7415444442E+08 198.778745  26.960854
 2014-Apr-08 00:00     1.7342592833E+08 199.277457  27.456228
 2014-Apr-09 00:00     1.7268816898E+08 199.784952  27.953991
 2014-Apr-10 00:00     1.7194118928E+08 200.301581  28.454147
 2014-Apr-11 00:00     1.7118501408E+08 200.827712  28.956696
 2014-Apr-12 00:00     1.7041967027E+08 201.363728  29.461635
 2014-Apr-13 00:00     1.6964518694E+08 201.910034  29.968957
 2014-Apr-14 00:00     1.6886159545E+08 202.467051  30.478649
 2014-Apr-15 00:00     1.6806892963E+08 203.035224  30.990693
 2014-Apr-16 00:00     1.6726722586E+08 203.615018  31.505067
 2014-Apr-17 00:00     1.6645652326E+08 204.206920  32.021740
 2014-Apr-18 00:00     1.6563686382E+08 204.811443  32.540676
 2014-Apr-19 00:00     1.6480829261E+08 205.429125  33.061830
 2014-Apr-20 00:00     1.6397085789E+08 206.060532  33.585151
 2014-Apr-21 00:00     1.6312461135E+08 206.706258  34.110576
 2014-Apr-22 00:00     1.6226960828E+08 207.366927  34.638034
 2014-Apr-23 00:00     1.6140590780E+08 208.043195  35.167441
 2014-Apr-24 00:00     1.6053357303E+08 208.735753  35.698704
 2014-Apr-25 00:00     1.5965267137E+08 209.445327  36.231714
 2014-Apr-26 00:00     1.5876327471E+08 210.172679  36.766349
 2014-Apr-27 00:00     1.5786545970E+08 210.918612  37.302471
 2014-Apr-28 00:00     1.5695930802E+08 211.683970  37.839924
 2014-Apr-29 00:00     1.5604490663E+08 212.469641  38.378535
 2014-Apr-30 00:00     1.5512234815E+08 213.276558  38.918107
 2014-May-01 00:00     1.5419173108E+08 214.105700  39.458424
 2014-May-02 00:00     1.5325316019E+08 214.958099  39.999243
 2014-May-03 00:00     1.5230674687E+08 215.834836  40.540295
 2014-May-04 00:00     1.5135260948E+08 216.737046  41.081281
 2014-May-05 00:00     1.5039087377E+08 217.665919  41.621870
 2014-May-06 00:00     1.4942167324E+08 218.622703  42.161696
 2014-May-07 00:00     1.4844514964E+08 219.608702  42.700355
 2014-May-08 00:00     1.4746145338E+08 220.625282  43.237400
 2014-May-09 00:00     1.4647074402E+08 221.673864  43.772341
 2014-May-10 00:00     1.4547319081E+08 222.755930  44.304637
 2014-May-11 00:00     1.4446897319E+08 223.873022  44.833694
 2014-May-12 00:00     1.4345828133E+08 225.026734  45.358860
 2014-May-13 00:00     1.4244131679E+08 226.218717  45.879421
 2014-May-14 00:00     1.4141829310E+08 227.450667  46.394595
 2014-May-15 00:00     1.4038943637E+08 228.724325  46.903527
 2014-May-16 00:00     1.3935498608E+08 230.041465  47.405283
 2014-May-17 00:00     1.3831519567E+08 231.403887  47.898847
 2014-May-18 00:00     1.3727033341E+08 232.813402  48.383113
 2014-May-19 00:00     1.3622068310E+08 234.271816  48.856878
 2014-May-20 00:00     1.3516654493E+08 235.780912  49.318842
 2014-May-21 00:00     1.3410823633E+08 237.342429  49.767595
 2014-May-22 00:00     1.3304609285E+08 238.958031  50.201621
 2014-May-23 00:00     1.3198046914E+08 240.629281  50.619286
 2014-May-24 00:00     1.3091173985E+08 242.357600  51.018839
 2014-May-25 00:00     1.2984030069E+08 244.144233  51.398409
 2014-May-26 00:00     1.2876656941E+08 245.990201  51.756003
 2014-May-27 00:00     1.2769098694E+08 247.896252  52.089511
 2014-May-28 00:00     1.2661401844E+08 249.862813  52.396704
 2014-May-29 00:00     1.2553615447E+08 251.889934  52.675242
 2014-May-30 00:00     1.2445791212E+08 253.977234  52.922686
 2014-May-31 00:00     1.2337983619E+08 256.123850  53.136504
 2014-Jun-01 00:00     1.2230250041E+08 258.328385  53.314088
 2014-Jun-02 00:00     1.2122650863E+08 260.588870  53.452775
 2014-Jun-03 00:00     1.2015249604E+08 262.902727  53.549866
 2014-Jun-04 00:00     1.1908113036E+08 265.266748  53.602651
 2014-Jun-05 00:00     1.1801311304E+08 267.677097  53.608440
 2014-Jun-06 00:00     1.1694918041E+08 270.129316  53.564590
 2014-Jun-07 00:00     1.1589010481E+08 272.618364  53.468537
 2014-Jun-08 00:00     1.1483669561E+08 275.138667  53.317831
 2014-Jun-09 00:00     1.1378980024E+08 277.684201  53.110166
 2014-Jun-10 00:00     1.1275030508E+08 280.248576  52.843411
 2014-Jun-11 00:00     1.1171913616E+08 282.825158  52.515636
 2014-Jun-12 00:00     1.1069725986E+08 285.407180  52.125138
 2014-Jun-13 00:00     1.0968568331E+08 287.987877  51.670458
 2014-Jun-14 00:00     1.0868545466E+08 290.560610  51.150400
 2014-Jun-15 00:00     1.0769766308E+08 293.118992  50.564034
 2014-Jun-16 00:00     1.0672343851E+08 295.656997  49.910703
 2014-Jun-17 00:00     1.0576395109E+08 298.169061  49.190022
 2014-Jun-18 00:00     1.0482041024E+08 300.650154  48.401871
 2014-Jun-19 00:00     1.0389406338E+08 303.095843  47.546388
 2014-Jun-20 00:00     1.0298619415E+08 305.502328  46.623954
 2014-Jun-21 00:00     1.0209812025E+08 307.866455  45.635183
 2014-Jun-22 00:00     1.0123119074E+08 310.185717  44.580902
 2014-Jun-23 00:00     1.0038678272E+08 312.458235  43.462144
 2014-Jun-24 00:00     9.9566297550E+07 314.682729  42.280127
 2014-Jun-25 00:00     9.8771156382E+07 316.858471  41.036245
 2014-Jun-26 00:00     9.8002795084E+07 318.985243  39.732055
 2014-Jun-27 00:00     9.7262658521E+07 321.063284  38.369268
 2014-Jun-28 00:00     9.6552194202E+07 323.093234  36.949738
 2014-Jun-29 00:00     9.5872845282E+07 325.076081  35.475462
 2014-Jun-30 00:00     9.5226042969E+07 327.013113  33.948564
 2014-Jul-01 00:00     9.4613198362E+07 328.905865  32.371301
 2014-Jul-02 00:00     9.4035693791E+07 330.756080  30.746053
 2014-Jul-03 00:00     9.3494873725E+07 332.565664  29.075322
 2014-Jul-04 00:00     9.2992035350E+07 334.336652  27.361729
 2014-Jul-05 00:00     9.2528418940E+07 336.071180  25.608010
