*******************************************************************************
JPL/HORIZONS                     (2011 CL50)               2020-Dec-16 20:10:28
Rec #:50164112 (+COV) Soln.date: 2017-Apr-06_08:54:26        # obs: 28 (8 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455606.5 ! 2011-Feb-14.00 (TDB)         Residual RMS= .41349
   EC= .1476368925080507   QR= .7526539887573834   TP= 2455739.67045552
   OM= 22.79350956116322   W=  285.5415384782677   IN= .1731846925117315
   A= .8830203725875035    MA= 201.8184328454073   ADIST= 1.013386756417624
   PER= .82978             N= 1.187812733          ANGMOM= .01598753
   DAN= .83091             DDN= .89935             L= 308.3351256
   B= -.1668524            MOID= .00208994         TP= 2011-Jun-27.1704555200
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 27.6                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#8, OCC=7
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Dec 16 20:10:28 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2011 CL50)                     {source: JPL#8}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201216.p210309                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-16. PREDICTS-> 2021-MAR-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455606.5 ! 2011-Feb-14.00 (TDB)         Residual RMS= .41349        
   EC= .1476368925080507   QR= .7526539887573834   TP= 2455739.67045552        
   OM= 22.79350956116322   W=  285.5415384782677   IN= .1731846925117315       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-8.222141934578051E-01  Y= 5.311773986873656E-01  Z= 2.331048076537325E-01
  VX=-8.526503647130160E-03 VY=-1.230992834925974E-02 VZ=-5.366911369797433E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 27.6                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.1401100416E+08  31.658202 -36.973297
 2014-Jan-02 00:00     1.1406063337E+08  32.911734 -38.209665
 2014-Jan-03 00:00     1.1412097171E+08  34.207053 -39.431052
 2014-Jan-04 00:00     1.1419196150E+08  35.546712 -40.636158
 2014-Jan-05 00:00     1.1427353510E+08  36.933369 -41.823612
 2014-Jan-06 00:00     1.1436561517E+08  38.369775 -42.991969
 2014-Jan-07 00:00     1.1446811479E+08  39.858769 -44.139702
 2014-Jan-08 00:00     1.1458093770E+08  41.403254 -45.265199
 2014-Jan-09 00:00     1.1470397850E+08  43.006178 -46.366760
 2014-Jan-10 00:00     1.1483712295E+08  44.670503 -47.442594
 2014-Jan-11 00:00     1.1498024817E+08  46.399170 -48.490813
 2014-Jan-12 00:00     1.1513322300E+08  48.195047 -49.509436
 2014-Jan-13 00:00     1.1529590821E+08  50.060875 -50.496383
 2014-Jan-14 00:00     1.1546815689E+08  51.999199 -51.449483
 2014-Jan-15 00:00     1.1564981472E+08  54.012283 -52.366476
 2014-Jan-16 00:00     1.1584072035E+08  56.102021 -53.245022
 2014-Jan-17 00:00     1.1604070569E+08  58.269826 -54.082714
 2014-Jan-18 00:00     1.1624959631E+08  60.516520 -54.877095
 2014-Jan-19 00:00     1.1646721176E+08  62.842207 -55.625677
 2014-Jan-20 00:00     1.1669336597E+08  65.246151 -56.325972
 2014-Jan-21 00:00     1.1692786757E+08  67.726648 -56.975525
 2014-Jan-22 00:00     1.1717052029E+08  70.280919 -57.571949
 2014-Jan-23 00:00     1.1742112331E+08  72.905018 -58.112971
 2014-Jan-24 00:00     1.1767947164E+08  75.593767 -58.596482
 2014-Jan-25 00:00     1.1794535648E+08  78.340738 -59.020583
 2014-Jan-26 00:00     1.1821856555E+08  81.138277 -59.383635
 2014-Jan-27 00:00     1.1849888351E+08  83.977591 -59.684314
 2014-Jan-28 00:00     1.1878609224E+08  86.848880 -59.921648
 2014-Jan-29 00:00     1.1907997123E+08  89.741542 -60.095052
