*******************************************************************************
JPL/HORIZONS                     (2017 XQ60)               2020-Dec-16 17:25:51
Rec #:50443701 (+COV) Soln.date: 2020-Dec-06_05:24:56     # obs: 85 (2017-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458361.5 ! 2018-Aug-31.00 (TDB)         Residual RMS= .39624
   EC= .213859834061904    QR= .7868940588850865   TP= 2458186.8213142976
   OM= 269.2149646943      W=  283.3696114170967   IN= 27.20153018488854
   A= 1.000958980318848    MA= 171.917294937021    ADIST= 1.215023901752609
   PER= 1.00146            N= .984191571           ANGMOM= .016812173
   DAN= .91017             DDN= 1.00487            L= 194.1763851
   B= -26.4062609          MOID= .0194181          TP= 2018-Mar-09.3213142976
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.4                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#7, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Dec 16 17:25:51 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2017 XQ60)                     {source: JPL#7}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201216.p210309                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-16. PREDICTS-> 2021-MAR-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458361.5 ! 2018-Aug-31.00 (TDB)         Residual RMS= .39624        
   EC= .213859834061904    QR= .7868940588850865   TP= 2458186.8213142976      
   OM= 269.2149646943      W=  283.3696114170967   IN= 27.20153018488854       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.071055788102331E+00  Y=-7.687748183521793E-02  Z= 5.654226974811464E-01
  VX=-1.217608944734463E-03 VY= 1.293530349062436E-02 VZ= 4.820307850752172E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.4016260006E+08 201.187018   8.982019
 2014-Jan-02 00:00     1.3960330591E+08 202.134139   9.561116
 2014-Jan-03 00:00     1.3904527205E+08 203.092135  10.142251
 2014-Jan-04 00:00     1.3848871904E+08 204.061363  10.725232
 2014-Jan-05 00:00     1.3793387210E+08 205.042184  11.309853
 2014-Jan-06 00:00     1.3738096109E+08 206.034969  11.895895
 2014-Jan-07 00:00     1.3683022047E+08 207.040096  12.483128
 2014-Jan-08 00:00     1.3628188933E+08 208.057950  13.071302
 2014-Jan-09 00:00     1.3573621126E+08 209.088924  13.660156
 2014-Jan-10 00:00     1.3519343438E+08 210.133415  14.249411
 2014-Jan-11 00:00     1.3465381123E+08 211.191830  14.838771
 2014-Jan-12 00:00     1.3411759871E+08 212.264579  15.427925
 2014-Jan-13 00:00     1.3358505796E+08 213.352077  16.016542
 2014-Jan-14 00:00     1.3305645431E+08 214.454745  16.604271
 2014-Jan-15 00:00     1.3253205709E+08 215.573004  17.190745
 2014-Jan-16 00:00     1.3201213955E+08 216.707280  17.775576
 2014-Jan-17 00:00     1.3149697867E+08 217.857998  18.358354
 2014-Jan-18 00:00     1.3098685501E+08 219.025585  18.938649
 2014-Jan-19 00:00     1.3048205252E+08 220.210465  19.516009
 2014-Jan-20 00:00     1.2998285833E+08 221.413057  20.089961
 2014-Jan-21 00:00     1.2948956253E+08 222.633776  20.660008
 2014-Jan-22 00:00     1.2900245791E+08 223.873030  21.225632
 2014-Jan-23 00:00     1.2852183971E+08 225.131216  21.786290
 2014-Jan-24 00:00     1.2804800536E+08 226.408718  22.341417
 2014-Jan-25 00:00     1.2758125413E+08 227.705907  22.890424
 2014-Jan-26 00:00     1.2712188682E+08 229.023134  23.432700
 2014-Jan-27 00:00     1.2667020546E+08 230.360730  23.967609
 2014-Jan-28 00:00     1.2622651285E+08 231.719000  24.494496
 2014-Jan-29 00:00     1.2579111228E+08 233.098220  25.012680
 2014-Jan-30 00:00     1.2536430704E+08 234.498634  25.521461
 2014-Jan-31 00:00     1.2494640004E+08 235.920451  26.020118
 2014-Feb-01 00:00     1.2453769334E+08 237.363837  26.507913
 2014-Feb-02 00:00     1.2413848769E+08 238.828912  26.984087
 2014-Feb-03 00:00     1.2374908204E+08 240.315748  27.447868
 2014-Feb-04 00:00     1.2336977307E+08 241.824360  27.898468
 2014-Feb-05 00:00     1.2300085461E+08 243.354706  28.335089
 2014-Feb-06 00:00     1.2264261718E+08 244.906677  28.756923
 2014-Feb-07 00:00     1.2229534737E+08 246.480097  29.163156
 2014-Feb-08 00:00     1.2195932735E+08 248.074716  29.552970
 2014-Feb-09 00:00     1.2163483426E+08 249.690209  29.925549
 2014-Feb-10 00:00     1.2132213965E+08 251.326168  30.280078
 2014-Feb-11 00:00     1.2102150889E+08 252.982101  30.615753
 2014-Feb-12 00:00     1.2073320059E+08 254.657430  30.931781
 2014-Feb-13 00:00     1.2045746601E+08 256.351488  31.227385
 2014-Feb-14 00:00     1.2019454849E+08 258.063518  31.501808
 2014-Feb-15 00:00     1.1994468284E+08 259.792674  31.754322
 2014-Feb-16 00:00     1.1970809480E+08 261.538017  31.984226
 2014-Feb-17 00:00     1.1948500044E+08 263.298524  32.190858
 2014-Feb-18 00:00     1.1927560563E+08 265.073084  32.373591
 2014-Feb-19 00:00     1.1908010552E+08 266.860507  32.531849
 2014-Feb-20 00:00     1.1889868398E+08 268.659523  32.665101
 2014-Feb-21 00:00     1.1873151312E+08 270.468796  32.772871
 2014-Feb-22 00:00     1.1857875285E+08 272.286924  32.854739
 2014-Feb-23 00:00     1.1844055040E+08 274.112449  32.910350
 2014-Feb-24 00:00     1.1831703988E+08 275.943870  32.939410
 2014-Feb-25 00:00     1.1820834197E+08 277.779647  32.941692
 2014-Feb-26 00:00     1.1811456350E+08 279.618215  32.917040
 2014-Feb-27 00:00     1.1803579720E+08 281.457994  32.865366
 2014-Feb-28 00:00     1.1797212136E+08 283.297399  32.786656
 2014-Mar-01 00:00     1.1792359966E+08 285.134854  32.680966
 2014-Mar-02 00:00     1.1789028093E+08 286.968799  32.548424
 2014-Mar-03 00:00     1.1787219906E+08 288.797703  32.389229
 2014-Mar-04 00:00     1.1786937282E+08 290.620075  32.203647
 2014-Mar-05 00:00     1.1788180590E+08 292.434472  31.992012
 2014-Mar-06 00:00     1.1790948681E+08 294.239508  31.754724
 2014-Mar-07 00:00     1.1795238896E+08 296.033863  31.492239
 2014-Mar-08 00:00     1.1801047075E+08 297.816288  31.205075
 2014-Mar-09 00:00     1.1808367566E+08 299.585612  30.893801
