*******************************************************************************
JPL/HORIZONS                     (2018 XU3)                2020-Dec-13 19:56:09
Rec #:50456301 (+COV) Soln.date: 2020-Dec-12_05:24:24     # obs: 29 (2018-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458739.5 ! 2019-Sep-13.00 (TDB)         Residual RMS= .24205
   EC= .4010918027352011   QR= .9495427354958318   TP= 2458500.8569760085
   OM= 75.47899834954796   W=  44.78158477416852   IN= 13.25138160466334
   A= 1.585456234916091    MA= 117.8206542903838   ADIST= 2.221369734336351
   PER= 1.99636            N= .493710853           ANGMOM= .019841386
   DAN= 1.03557            DDN= 1.8599             L= 119.4876535
   B= 9.2920386            MOID= .0384019          TP= 2019-Jan-17.3569760085
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 25.4                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#5, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 19:56:09 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2018 XU3)                      {source: JPL#5}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
