*******************************************************************************
JPL/HORIZONS                     (2019 XQ1)                2020-Dec-13 14:38:08
Rec #:50477536 (+COV) Soln.date: 2019-Dec-29_07:26:05       # obs: 31 (10 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458823.5 ! 2019-Dec-06.00 (TDB)         Residual RMS= .28877
   EC= .2821471867813321   QR= .715719050188798    TP= 2458909.9534517862
   OM= 69.40997569489843   W=  119.0335631878331   IN= 8.549750934598073
   A= .9970275758615438    MA= 274.4094816809839   ADIST= 1.27833610153429
   PER= .99556             N= .990018492           ANGMOM= .016478652
   DAN= 1.06325            DDN= .80713             L= 188.7160337
   B= 7.4687737            MOID= .0346146          TP= 2020-Mar-01.4534517862
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 25.4                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#3, OCC=7
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 14:38:09 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2019 XQ1)                      {source: JPL#3}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458823.5 ! 2019-Dec-06.00 (TDB)         Residual RMS= .28877        
   EC= .2821471867813321   QR= .715719050188798    TP= 2458909.9534517862      
   OM= 69.40997569489843   W=  119.0335631878331   IN= 8.549750934598073       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.365058698580112E-01  Y= 9.131012340596846E-01  Z= 4.017456983040922E-01
  VX=-1.611240965061107E-02 VY=-3.094049980820811E-04 VZ= 2.375480027947332E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 25.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.4663248569E+08 181.812428  -3.359058
 2014-Jan-02 00:00     1.4589216061E+08 182.178237  -2.444955
 2014-Jan-03 00:00     1.4514900206E+08 182.547269  -1.521426
 2014-Jan-04 00:00     1.4440320696E+08 182.919776  -0.588327
 2014-Jan-05 00:00     1.4365497958E+08 183.296022   0.354484
 2014-Jan-06 00:00     1.4290453168E+08 183.676283   1.307150
 2014-Jan-07 00:00     1.4215208281E+08 184.060848   2.269812
 2014-Jan-08 00:00     1.4139786048E+08 184.450022   3.242613
 2014-Jan-09 00:00     1.4064210044E+08 184.844127   4.225689
 2014-Jan-10 00:00     1.3988504687E+08 185.243503   5.219179
 2014-Jan-11 00:00     1.3912695261E+08 185.648507   6.223216
 2014-Jan-12 00:00     1.3836807944E+08 186.059519   7.237930
 2014-Jan-13 00:00     1.3760869824E+08 186.476940   8.263450
 2014-Jan-14 00:00     1.3684908925E+08 186.901199   9.299897
 2014-Jan-15 00:00     1.3608954228E+08 187.332748  10.347387
 2014-Jan-16 00:00     1.3533035693E+08 187.772071  11.406033
 2014-Jan-17 00:00     1.3457184279E+08 188.219683  12.475937
 2014-Jan-18 00:00     1.3381431963E+08 188.676135  13.557195
 2014-Jan-19 00:00     1.3305811759E+08 189.142016  14.649892
 2014-Jan-20 00:00     1.3230357739E+08 189.617957  15.754104
 2014-Jan-21 00:00     1.3155105044E+08 190.104635  16.869896
 2014-Jan-22 00:00     1.3080089899E+08 190.602778  17.997316
 2014-Jan-23 00:00     1.3005349631E+08 191.113168  19.136400
 2014-Jan-24 00:00     1.2930922673E+08 191.636650  20.287167
 2014-Jan-25 00:00     1.2856848575E+08 192.174137  21.449614
 2014-Jan-26 00:00     1.2783168011E+08 192.726614  22.623719
 2014-Jan-27 00:00     1.2709922778E+08 193.295150  23.809438
 2014-Jan-28 00:00     1.2637155799E+08 193.880904  25.006697
 2014-Jan-29 00:00     1.2564911115E+08 194.485138  26.215394
 2014-Jan-30 00:00     1.2493233881E+08 195.109223  27.435395
 2014-Jan-31 00:00     1.2422170349E+08 195.754656  28.666527
 2014-Feb-01 00:00     1.2351767857E+08 196.423074  29.908578
 2014-Feb-02 00:00     1.2282074799E+08 197.116266  31.161289
 2014-Feb-03 00:00     1.2213140607E+08 197.836196  32.424350
 2014-Feb-04 00:00     1.2145015708E+08 198.585019  33.697394
 2014-Feb-05 00:00     1.2077751495E+08 199.365107  34.979991
 2014-Feb-06 00:00     1.2011400274E+08 200.179075  36.271636
 2014-Feb-07 00:00     1.1946015215E+08 201.029809  37.571747
 2014-Feb-08 00:00     1.1881650290E+08 201.920502  38.879649
 2014-Feb-09 00:00     1.1818360212E+08 202.854689  40.194567
 2014-Feb-10 00:00     1.1756200354E+08 203.836294  41.515610
 2014-Feb-11 00:00     1.1695226668E+08 204.869675  42.841757
 2014-Feb-12 00:00     1.1635495599E+08 205.959681  44.171839
