*******************************************************************************
JPL/HORIZONS                     (2020 VY1)                2020-Dec-13 21:45:10
Rec #:50491477 (+COV) Soln.date: 2020-Dec-09_05:24:05       # obs: 43 (27 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459169.5 ! 2020-Nov-16.00 (TDB)         Residual RMS= .18479
   EC= .3346003796862306   QR= .9946830242178196   TP= 2459206.1401886926
   OM= 225.3432167859702   W=  225.9925031069106   IN= 2.825440809058719
   A= 1.494865632398132    MA= 340.2412921713161   ADIST= 1.995048240578444
   PER= 1.82773            N= .5392632510000001    ANGMOM= .019819807
   DAN= 1.72957            DDN= 1.07711            L= 91.3009031
   B= -2.0317977           MOID= .0310696          TP= 2020-Dec-22.6401886926
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 25.812               G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#9, OCC=6
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 21:45:10 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2020 VY1)                      {source: JPL#9}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459169.5 ! 2020-Nov-16.00 (TDB)         Residual RMS= .18479        
   EC= .3346003796862306   QR= .9946830242178196   TP= 2459206.1401886926      
   OM= 225.3432167859702   W=  225.9925031069106   IN= 2.825440809058719       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 6.656738635527106E-01  Y= 7.561751061703867E-01  Z= 3.222366502489239E-01
  VX=-1.658196199262126E-02 VY= 8.857926863180019E-03 VZ= 2.855676661297284E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 25.812               G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     2.1695243162E+08 305.424787  55.225405
 2014-Jan-02 00:00     2.1767647614E+08 306.291465  55.016980
 2014-Jan-03 00:00     2.1839866224E+08 307.143413  54.803897
 2014-Jan-04 00:00     2.1911893976E+08 307.980796  54.586367
 2014-Jan-05 00:00     2.1983725979E+08 308.803789  54.364594
 2014-Jan-06 00:00     2.2055357462E+08 309.612579  54.138776
 2014-Jan-07 00:00     2.2126783772E+08 310.407363  53.909103
 2014-Jan-08 00:00     2.2198000373E+08 311.188346  53.675762
 2014-Jan-09 00:00     2.2269002842E+08 311.955741  53.438930
 2014-Jan-10 00:00     2.2339786864E+08 312.709764  53.198780
 2014-Jan-11 00:00     2.2410348234E+08 313.450639  52.955477
 2014-Jan-12 00:00     2.2480682852E+08 314.178593  52.709183
 2014-Jan-13 00:00     2.2550786720E+08 314.893857  52.460052
 2014-Jan-14 00:00     2.2620655942E+08 315.596664  52.208231
 2014-Jan-15 00:00     2.2690286718E+08 316.287246  51.953865
 2014-Jan-16 00:00     2.2759675346E+08 316.965841  51.697090
 2014-Jan-17 00:00     2.2828818217E+08 317.632682  51.438039
 2014-Jan-18 00:00     2.2897711812E+08 318.288007  51.176838
 2014-Jan-19 00:00     2.2966352703E+08 318.932048  50.913610
 2014-Jan-20 00:00     2.3034737548E+08 319.565040  50.648472
 2014-Jan-21 00:00     2.3102863092E+08 320.187214  50.381535
 2014-Jan-22 00:00     2.3170726161E+08 320.798801  50.112907
 2014-Jan-23 00:00     2.3238323663E+08 321.400027  49.842693
 2014-Jan-24 00:00     2.3305652584E+08 321.991117  49.570989
 2014-Jan-25 00:00     2.3372709990E+08 322.572294  49.297893
 2014-Jan-26 00:00     2.3439493019E+08 323.143776  49.023493
