*******************************************************************************
JPL/HORIZONS                     (2020 XA3)                2020-Dec-16 17:47:56
Rec #:50492378 (+COV) Soln.date: 2020-Dec-16_05:27:06        # obs: 28 (8 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459193.5 ! 2020-Dec-10.00 (TDB)         Residual RMS= .14695
   EC= .6611382466907004   QR= .8071072063385492   TP= 2459241.1868645158
   OM= 84.92350335584248   W=  58.69770410894245   IN= 9.617248369835393
   A= 2.38181853943798     MA= 347.2138488323184   ADIST= 3.956529872537412
   PER= 3.67596            N= .268127312           ANGMOM= .019918193
   DAN= .99793             DDN= 2.04221            L= 143.2600362
   B= 8.206844500000001    MOID= .00521848         TP= 2021-Jan-26.6868645158
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 24.31                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#4, OCC=8
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Dec 16 17:47:56 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2020 XA3)                      {source: JPL#4}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201216.p210309                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-16. PREDICTS-> 2021-MAR-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459193.5 ! 2020-Dec-10.00 (TDB)         Residual RMS= .14695        
   EC= .6611382466907004   QR= .8071072063385492   TP= 2459241.1868645158      
   OM= 84.92350335584248   W=  58.69770410894245   IN= 9.617248369835393       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.659034340116004E-01  Y= 9.671517070291697E-01  Z= 3.874148344490273E-01
  VX=-1.993532897302692E-02 VY=-5.189336256136342E-03 VZ= 1.348460108220120E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 24.31                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     2.3939894644E+08 357.608652  20.415040
 2014-Jan-02 00:00     2.4082363126E+08 357.782651  20.002973
 2014-Jan-03 00:00     2.4224544134E+08 357.953714  19.595578
 2014-Jan-04 00:00     2.4366432799E+08 358.121936  19.192770
 2014-Jan-05 00:00     2.4508024491E+08 358.287406  18.794468
 2014-Jan-06 00:00     2.4649314805E+08 358.450211  18.400591
 2014-Jan-07 00:00     2.4790299556E+08 358.610434  18.011060
 2014-Jan-08 00:00     2.4930974767E+08 358.768153  17.625797
 2014-Jan-09 00:00     2.5071336662E+08 358.923444  17.244727
 2014-Jan-10 00:00     2.5211381656E+08 359.076380  16.867775
 2014-Jan-11 00:00     2.5351106351E+08 359.227031  16.494868
 2014-Jan-12 00:00     2.5490507524E+08 359.375464  16.125937
 2014-Jan-13 00:00     2.5629582122E+08 359.521742  15.760910
 2014-Jan-14 00:00     2.5768327254E+08 359.665928  15.399721
 2014-Jan-15 00:00     2.5906740188E+08 359.808080  15.042301
 2014-Jan-16 00:00     2.6044818339E+08 359.948257  14.688586
 2014-Jan-17 00:00     2.6182559267E+08   0.086512  14.338513
 2014-Jan-18 00:00     2.6319960668E+08   0.222898  13.992017
 2014-Jan-19 00:00     2.6457020373E+08   0.357467  13.649039
 2014-Jan-20 00:00     2.6593736337E+08   0.490267  13.309518
 2014-Jan-21 00:00     2.6730106640E+08   0.621345  12.973396
 2014-Jan-22 00:00     2.6866129475E+08   0.750746  12.640614
 2014-Jan-23 00:00     2.7001803151E+08   0.878515  12.311118
 2014-Jan-24 00:00     2.7137126080E+08   1.004694  11.984851
 2014-Jan-25 00:00     2.7272096782E+08   1.129322  11.661760
 2014-Jan-26 00:00     2.7406713872E+08   1.252441  11.341792
 2014-Jan-27 00:00     2.7540976061E+08   1.374086  11.024896
 2014-Jan-28 00:00     2.7674882152E+08   1.494296  10.711021
 2014-Jan-29 00:00     2.7808431035E+08   1.613105  10.400117
 2014-Jan-30 00:00     2.7941621684E+08   1.730548  10.092136
 2014-Jan-31 00:00     2.8074453152E+08   1.846658   9.787031
 2014-Feb-01 00:00     2.8206924572E+08   1.961466   9.484755
 2014-Feb-02 00:00     2.8339035147E+08   2.075004   9.185262
 2014-Feb-03 00:00     2.8470784155E+08   2.187301   8.888508
 2014-Feb-04 00:00     2.8602170940E+08   2.298387   8.594449
 2014-Feb-05 00:00     2.8733194912E+08   2.408289   8.303043
 2014-Feb-06 00:00     2.8863855544E+08   2.517034   8.014247
 2014-Feb-07 00:00     2.8994152368E+08   2.624650   7.728021
 2014-Feb-08 00:00     2.9124084974E+08   2.731161   7.444324
 2014-Feb-09 00:00     2.9253653009E+08   2.836591   7.163117
 2014-Feb-10 00:00     2.9382856171E+08   2.940966   6.884361
 2014-Feb-11 00:00     2.9511694210E+08   3.044308   6.608019
 2014-Feb-12 00:00     2.9640166924E+08   3.146639   6.334053
 2014-Feb-13 00:00     2.9768274159E+08   3.247982   6.062427
 2014-Feb-14 00:00     2.9896015805E+08   3.348358   5.793106
 2014-Feb-15 00:00     3.0023391795E+08   3.447786   5.526055
 2014-Feb-16 00:00     3.0150402104E+08   3.546289   5.261239
 2014-Feb-17 00:00     3.0277046745E+08   3.643883   4.998625
 2014-Feb-18 00:00     3.0403325771E+08   3.740589   4.738180
 2014-Feb-19 00:00     3.0529239269E+08   3.836425   4.479872
 2014-Feb-20 00:00     3.0654787363E+08   3.931409   4.223669
 2014-Feb-21 00:00     3.0779970209E+08   4.025557   3.969541
 2014-Feb-22 00:00     3.0904787994E+08   4.118887   3.717456
 2014-Feb-23 00:00     3.1029240938E+08   4.211416   3.467386
 2014-Feb-24 00:00     3.1153329288E+08   4.303158   3.219301
 2014-Feb-25 00:00     3.1277053321E+08   4.394130   2.973172
 2014-Feb-26 00:00     3.1400413339E+08   4.484346   2.728971
 2014-Feb-27 00:00     3.1523409671E+08   4.573822   2.486670
 2014-Feb-28 00:00     3.1646042669E+08   4.662571   2.246244
 2014-Mar-01 00:00     3.1768312710E+08   4.750608   2.007664
 2014-Mar-02 00:00     3.1890220193E+08   4.837945   1.770906
 2014-Mar-03 00:00     3.2011765539E+08   4.924597   1.535942
 2014-Mar-04 00:00     3.2132949187E+08   5.010576   1.302750
 2014-Mar-05 00:00     3.2253771598E+08   5.095895   1.071303
 2014-Mar-06 00:00     3.2374233253E+08   5.180565   0.841577
 2014-Mar-07 00:00     3.2494334646E+08   5.264600   0.613550
 2014-Mar-08 00:00     3.2614076293E+08   5.348009   0.387197
 2014-Mar-09 00:00     3.2733458724E+08   5.430806   0.162496
 2014-Mar-10 00:00     3.2852482484E+08   5.513000  -0.060576
 2014-Mar-11 00:00     3.2971148134E+08   5.594602  -0.282041
 2014-Mar-12 00:00     3.3089456249E+08   5.675624  -0.501919
 2014-Mar-13 00:00     3.3207407416E+08   5.756075  -0.720234
 2014-Mar-14 00:00     3.3325002237E+08   5.835966  -0.937004
 2014-Mar-15 00:00     3.3442241324E+08   5.915306  -1.152252
 2014-Mar-16 00:00     3.3559125302E+08   5.994104  -1.365997
 2014-Mar-17 00:00     3.3675654805E+08   6.072371  -1.578258
 2014-Mar-18 00:00     3.3791830481E+08   6.150115  -1.789056
 2014-Mar-19 00:00     3.3907652985E+08   6.227345  -1.998408
 2014-Mar-20 00:00     3.4023122980E+08   6.304070  -2.206335
 2014-Mar-21 00:00     3.4138241143E+08   6.380298  -2.412855
 2014-Mar-22 00:00     3.4253008153E+08   6.456038  -2.617984
 2014-Mar-23 00:00     3.4367424703E+08   6.531298  -2.821742
 2014-Mar-24 00:00     3.4481491489E+08   6.606086  -3.024146
 2014-Mar-25 00:00     3.4595209216E+08   6.680409  -3.225213
 2014-Mar-26 00:00     3.4708578595E+08   6.754276  -3.424960
 2014-Mar-27 00:00     3.4821600344E+08   6.827693  -3.623403
 2014-Mar-28 00:00     3.4934275187E+08   6.900668  -3.820559
 2014-Mar-29 00:00     3.5046603851E+08   6.973208  -4.016444
 2014-Mar-30 00:00     3.5158587072E+08   7.045320  -4.211073
 2014-Mar-31 00:00     3.5270225588E+08   7.117011  -4.404463
 2014-Apr-01 00:00     3.5381520142E+08   7.188288  -4.596628
