*******************************************************************************
JPL/HORIZONS                     (2020 XC4)                2020-Dec-13 19:47:55
Rec #:50491852 (+COV) Soln.date: 2020-Dec-13_05:25:24        # obs: 28 (3 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459194.5 ! 2020-Dec-11.00 (TDB)         Residual RMS= .23923
   EC= .1706643142907473   QR= .9845833644764886   TP= 2459181.0972759612
   OM= 79.59572921085086   W=  343.9361870199713   IN= 6.587034363384054
   A= 1.187195223167646    MA= 10.21207366033558   ADIST= 1.389807081858803
   PER= 1.29357            N= .761940136           ANGMOM= .018468171
   DAN= .99022             DDN= 1.37873            L= 63.632548
   B= -1.8189757           MOID= .00516933         TP= 2020-Nov-27.5972759612
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 25.973               G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#2, OCC=7
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 19:47:56 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2020 XC4)                      {source: JPL#2}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459194.5 ! 2020-Dec-11.00 (TDB)         Residual RMS= .23923        
   EC= .1706643142907473   QR= .9845833644764886   TP= 2459181.0972759612      
   OM= 79.59572921085086   W=  343.9361870199713   IN= 6.587034363384054       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.035533964979809E-01  Y= 8.893402424971496E-01  Z= 3.823814828903993E-01
  VX=-1.800621638653696E-02 VY= 3.274442165355943E-03 VZ= 3.750848574067938E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 25.973               G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.9930377461E+08   9.311405  -9.619991
 2014-Jan-02 00:00     1.9906262317E+08   9.555446 -10.167000
 2014-Jan-03 00:00     1.9881808867E+08   9.800917 -10.715160
 2014-Jan-04 00:00     1.9857018945E+08  10.047884 -11.264481
 2014-Jan-05 00:00     1.9831894432E+08  10.296413 -11.814975
 2014-Jan-06 00:00     1.9806437249E+08  10.546574 -12.366650
 2014-Jan-07 00:00     1.9780649361E+08  10.798435 -12.919517
 2014-Jan-08 00:00     1.9754532778E+08  11.052067 -13.473585
 2014-Jan-09 00:00     1.9728089553E+08  11.307542 -14.028863
 2014-Jan-10 00:00     1.9701321787E+08  11.564936 -14.585359
 2014-Jan-11 00:00     1.9674231626E+08  11.824323 -15.143082
 2014-Jan-12 00:00     1.9646821263E+08  12.085780 -15.702039
 2014-Jan-13 00:00     1.9619092939E+08  12.349385 -16.262237
 2014-Jan-14 00:00     1.9591048944E+08  12.615218 -16.823683
 2014-Jan-15 00:00     1.9562691619E+08  12.883358 -17.386381
 2014-Jan-16 00:00     1.9534023352E+08  13.153885 -17.950339
 2014-Jan-17 00:00     1.9505046586E+08  13.426877 -18.515560
 2014-Jan-18 00:00     1.9475763813E+08  13.702412 -19.082050
 2014-Jan-19 00:00     1.9446177579E+08  13.980562 -19.649817
 2014-Jan-20 00:00     1.9416290485E+08  14.261393 -20.218871
 2014-Jan-21 00:00     1.9386105185E+08  14.544960 -20.789229
 2014-Jan-22 00:00     1.9355624389E+08  14.831303 -21.360923
 2014-Jan-23 00:00     1.9324850864E+08  15.120439 -21.934013
 2014-Jan-24 00:00     1.9293787434E+08  15.412360 -22.508618
 2014-Jan-25 00:00     1.9262436982E+08  15.707046 -23.084962
 2014-Jan-26 00:00     1.9230802450E+08  16.004544 -23.663467
 2014-Jan-27 00:00     1.9198886839E+08  16.305198 -24.244820
 2014-Jan-28 00:00     1.9166693213E+08  16.610159 -24.829799
 2014-Jan-29 00:00     1.9134224698E+08  16.921715 -25.418312
 2014-Jan-30 00:00     1.9101484482E+08  17.241820 -26.008166
 2014-Jan-31 00:00     1.9068475820E+08  17.569452 -26.596466
 2014-Feb-01 00:00     1.9035202029E+08  17.901727 -27.182649
 2014-Feb-02 00:00     1.9001666494E+08  18.237059 -27.768066
 2014-Feb-03 00:00     1.8967872669E+08  18.575477 -28.354018
 2014-Feb-04 00:00     1.8933824073E+08  18.917583 -28.941173
 2014-Feb-05 00:00     1.8899524296E+08  19.263991 -29.529770
 2014-Feb-06 00:00     1.8864977001E+08  19.615195 -30.119854
 2014-Feb-07 00:00     1.8830185919E+08  19.971593 -30.711399
 2014-Feb-08 00:00     1.8795154855E+08  20.333514 -31.304353
 2014-Feb-09 00:00     1.8759887690E+08  20.701257 -31.898665
 2014-Feb-10 00:00     1.8724388376E+08  21.075097 -32.494281
 2014-Feb-11 00:00     1.8688660945E+08  21.455309 -33.091152
 2014-Feb-12 00:00     1.8652709504E+08  21.842162 -33.689232
 2014-Feb-13 00:00     1.8616538239E+08  22.235933 -34.288473
 2014-Feb-14 00:00     1.8580151415E+08  22.636908 -34.888831
 2014-Feb-15 00:00     1.8543553378E+08  23.045379 -35.490260
 2014-Feb-16 00:00     1.8506748556E+08  23.461651 -36.092710
 2014-Feb-17 00:00     1.8469741459E+08  23.886045 -36.696133
 2014-Feb-18 00:00     1.8432536683E+08  24.318890 -37.300476
 2014-Feb-19 00:00     1.8395138906E+08  24.760535 -37.905683
 2014-Feb-20 00:00     1.8357552895E+08  25.211343 -38.511696
 2014-Feb-21 00:00     1.8319783503E+08  25.671694 -39.118451
 2014-Feb-22 00:00     1.8281835673E+08  26.141987 -39.725880
 2014-Feb-23 00:00     1.8243714435E+08  26.622640 -40.333912
 2014-Feb-24 00:00     1.8205424913E+08  27.114093 -40.942468
 2014-Feb-25 00:00     1.8166972321E+08  27.616805 -41.551464
 2014-Feb-26 00:00     1.8128361965E+08  28.131259 -42.160811
 2014-Feb-27 00:00     1.8089599248E+08  28.657965 -42.770412
 2014-Feb-28 00:00     1.8050689665E+08  29.197453 -43.380163
 2014-Mar-01 00:00     1.8011638810E+08  29.750287 -43.989952
 2014-Mar-02 00:00     1.7972452372E+08  30.317053 -44.599660
 2014-Mar-03 00:00     1.7933136140E+08  30.898371 -45.209157
 2014-Mar-04 00:00     1.7893696001E+08  31.494892 -45.818305
 2014-Mar-05 00:00     1.7854137942E+08  32.107300 -46.426954
 2014-Mar-06 00:00     1.7814468053E+08  32.736315 -47.034944
 2014-Mar-07 00:00     1.7774692524E+08  33.382692 -47.642104
 2014-Mar-08 00:00     1.7734817649E+08  34.047227 -48.248247
 2014-Mar-09 00:00     1.7694849826E+08  34.730755 -48.853175
 2014-Mar-10 00:00     1.7654795557E+08  35.434154 -49.456675
 2014-Mar-11 00:00     1.7614661451E+08  36.158345 -50.058517
 2014-Mar-12 00:00     1.7574454221E+08  36.904298 -50.658455
 2014-Mar-13 00:00     1.7534180688E+08  37.673028 -51.256224
 2014-Mar-14 00:00     1.7493847781E+08  38.465599 -51.851539
 2014-Mar-15 00:00     1.7453462537E+08  39.283128 -52.444096
 2014-Mar-16 00:00     1.7413032101E+08  40.126782 -53.033567
 2014-Mar-17 00:00     1.7372563727E+08  40.997782 -53.619600
 2014-Mar-18 00:00     1.7332064780E+08  41.897401 -54.201819
 2014-Mar-19 00:00     1.7291542734E+08  42.826967 -54.779817
 2014-Mar-20 00:00     1.7251005174E+08  43.787860 -55.353162
 2014-Mar-21 00:00     1.7210459794E+08  44.781512 -55.921389
 2014-Mar-22 00:00     1.7169914402E+08  45.809404 -56.483997
 2014-Mar-23 00:00     1.7129376912E+08  46.873062 -57.040456
 2014-Mar-24 00:00     1.7088855354E+08  47.974054 -57.590192
 2014-Mar-25 00:00     1.7048357864E+08  49.113986 -58.132597
 2014-Mar-26 00:00     1.7007892692E+08  50.294487 -58.667018
 2014-Mar-27 00:00     1.6967468196E+08  51.517206 -59.192761
 2014-Mar-28 00:00     1.6927092844E+08  52.783797 -59.709084
 2014-Mar-29 00:00     1.6886775216E+08  54.095902 -60.215202
 2014-Mar-30 00:00     1.6846523997E+08  55.455135 -60.710277
