*******************************************************************************
JPL/HORIZONS                     (2020 XF3)                2020-Dec-13 21:53:54
Rec #:50491830 (+COV) Soln.date: 2020-Dec-11_09:12:02        # obs: 19 (2 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459193.5 ! 2020-Dec-10.00 (TDB)         Residual RMS= .56576
   EC= .2937155377272667   QR= 1.029451223958528   TP= 2459205.2067148308
   OM= 87.32869003650104   W=  3.312430740185646   IN= 12.59047920408036
   A= 1.457558928375523    MA= 353.4430793186802   ADIST= 1.885666632792519
   PER= 1.75974            N= .560099105           ANGMOM= .019851975
   DAN= 1.02984            DDN= 1.88436            L= 90.5616378
   B= .7216641             MOID= .0458512          TP= 2020-Dec-21.7067148308
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 25.085               G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#1, OCC=8
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 21:53:54 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2020 XF3)                      {source: JPL#1}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459193.5 ! 2020-Dec-10.00 (TDB)         Residual RMS= .56576        
   EC= .2937155377272667   QR= 1.029451223958528   TP= 2459205.2067148308      
   OM= 87.32869003650104   W=  3.312430740185646   IN= 12.59047920408036       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.090653380561769E-01  Y= 9.438248954026317E-01  Z= 3.698525998486296E-01
  VX=-1.850615833995745E-02 VY= 1.095570288754375E-03 VZ= 5.009246950770500E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 25.085               G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.5714263998E+08 194.124438  25.090905
 2014-Jan-02 00:00     1.5743082548E+08 194.498092  26.060166
 2014-Jan-03 00:00     1.5772954301E+08 194.876549  27.024850
 2014-Jan-04 00:00     1.5803865739E+08 195.260065  27.984802
 2014-Jan-05 00:00     1.5835803013E+08 195.648903  28.939870
 2014-Jan-06 00:00     1.5868751956E+08 196.043336  29.889904
 2014-Jan-07 00:00     1.5902698110E+08 196.443647  30.834758
 2014-Jan-08 00:00     1.5937626739E+08 196.850130  31.774284
 2014-Jan-09 00:00     1.5973522847E+08 197.263091  32.708340
 2014-Jan-10 00:00     1.6010371202E+08 197.682848  33.636785
 2014-Jan-11 00:00     1.6048156349E+08 198.109731  34.559477
 2014-Jan-12 00:00     1.6086862629E+08 198.544085  35.476279
 2014-Jan-13 00:00     1.6126474201E+08 198.986269  36.387054
 2014-Jan-14 00:00     1.6166975053E+08 199.436657  37.291666
 2014-Jan-15 00:00     1.6208349027E+08 199.895639  38.189979
 2014-Jan-16 00:00     1.6250579830E+08 200.363624  39.081861
 2014-Jan-17 00:00     1.6293651054E+08 200.841037  39.967177
 2014-Jan-18 00:00     1.6337546191E+08 201.328324  40.845794
 2014-Jan-19 00:00     1.6382248650E+08 201.825949  41.717579
 2014-Jan-20 00:00     1.6427741773E+08 202.334400  42.582397
 2014-Jan-21 00:00     1.6474008849E+08 202.854186  43.440115
 2014-Jan-22 00:00     1.6521033130E+08 203.385840  44.290596
 2014-Jan-23 00:00     1.6568797843E+08 203.929921  45.133704
 2014-Jan-24 00:00     1.6617286208E+08 204.487014  45.969300
 2014-Jan-25 00:00     1.6666481447E+08 205.057732  46.797242
 2014-Jan-26 00:00     1.6716366800E+08 205.642718  47.617387
 2014-Jan-27 00:00     1.6766925536E+08 206.242643  48.429587
 2014-Jan-28 00:00     1.6818140965E+08 206.858215  49.233691
 2014-Jan-29 00:00     1.6869996449E+08 207.490172  50.029545
 2014-Jan-30 00:00     1.6922475414E+08 208.139290  50.816987
 2014-Jan-31 00:00     1.6975561360E+08 208.806380  51.595853
 2014-Feb-01 00:00     1.7029237870E+08 209.492293  52.365970
 2014-Feb-02 00:00     1.7083488622E+08 210.197919  53.127160
 2014-Feb-03 00:00     1.7138297393E+08 210.924191  53.879236
 2014-Feb-04 00:00     1.7193648072E+08 211.672084  54.622004
 2014-Feb-05 00:00     1.7249524668E+08 212.442616  55.355260
 2014-Feb-06 00:00     1.7305911313E+08 213.236852  56.078790
 2014-Feb-07 00:00     1.7362792274E+08 214.055901  56.792370
 2014-Feb-08 00:00     1.7420151955E+08 214.900920  57.495763
 2014-Feb-09 00:00     1.7477974907E+08 215.773111  58.188720
 2014-Feb-10 00:00     1.7536245834E+08 216.673721  58.870979
 2014-Feb-11 00:00     1.7594949593E+08 217.604044  59.542262
 2014-Feb-12 00:00     1.7654071204E+08 218.565417  60.202276
 2014-Feb-13 00:00     1.7713595852E+08 219.559214  60.850713
 2014-Feb-14 00:00     1.7773508894E+08 220.586850  61.487245
 2014-Feb-15 00:00     1.7833795859E+08 221.649768  62.111526
 2014-Feb-16 00:00     1.7894442451E+08 222.749440  62.723192
 2014-Feb-17 00:00     1.7955434557E+08 223.887353  63.321858
