*******************************************************************************
JPL/HORIZONS                      (2020 XO)                2020-Dec-13 19:42:25
Rec #:50491765 (+COV) Soln.date: 2020-Dec-13_05:25:24        # obs: 47 (7 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459190.5 ! 2020-Dec-07.00 (TDB)         Residual RMS= .17213
   EC= .4623262767403877   QR= .5795082355214491   TP= 2459257.0259388667
   OM= 266.5361908481368   W=  282.2202023815674   IN= 7.717197244096258
   A= 1.077806503186017    MA= 301.4018524812174   ADIST= 1.576104770850586
   PER= 1.11897            N= .880831551           ANGMOM= .015835559
   DAN= .77189             DDN= .93936             L= 188.8646931
   B= -7.5413067           MOID= .0118401          TP= 2021-Feb-11.5259388667
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 23.924               G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#5, OCC=7
2: source=ORB
*******************************************************************************
 
  
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 19:42:25 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2020 XO)                       {source: JPL#5}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459190.5 ! 2020-Dec-07.00 (TDB)         Residual RMS= .17213        
   EC= .4623262767403877   QR= .5795082355214491   TP= 2459257.0259388667      
   OM= 266.5361908481368   W=  282.2202023815674   IN= 7.717197244096258       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.527094394942476E-01  Y= 9.095098863166140E-01  Z= 4.226308540588847E-01
  VX=-1.664756827600916E-02 VY=-2.741371870632364E-03 VZ=-3.607613130040687E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 23.924               G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     2.2176690936E+08 140.870703 -43.195779
 2014-Jan-02 00:00     2.2127576414E+08 141.342598 -42.967428
 2014-Jan-03 00:00     2.2077596684E+08 141.813074 -42.736121
 2014-Jan-04 00:00     2.2026750446E+08 142.282160 -42.501836
 2014-Jan-05 00:00     2.1975036384E+08 142.749885 -42.264551
 2014-Jan-06 00:00     2.1922453169E+08 143.216280 -42.024243
 2014-Jan-07 00:00     2.1868999464E+08 143.681377 -41.780888
 2014-Jan-08 00:00     2.1814673919E+08 144.145207 -41.534461
 2014-Jan-09 00:00     2.1759475172E+08 144.607802 -41.284936
 2014-Jan-10 00:00     2.1703401857E+08 145.069196 -41.032286
 2014-Jan-11 00:00     2.1646452596E+08 145.529423 -40.776483
 2014-Jan-12 00:00     2.1588626004E+08 145.988516 -40.517496
 2014-Jan-13 00:00     2.1529920692E+08 146.446512 -40.255297
 2014-Jan-14 00:00     2.1470335266E+08 146.903445 -39.989853
 2014-Jan-15 00:00     2.1409868326E+08 147.359352 -39.721132
 2014-Jan-16 00:00     2.1348518472E+08 147.814272 -39.449100
 2014-Jan-17 00:00     2.1286284301E+08 148.268241 -39.173721
 2014-Jan-18 00:00     2.1223164412E+08 148.721298 -38.894959
 2014-Jan-19 00:00     2.1159157405E+08 149.173483 -38.612776
 2014-Jan-20 00:00     2.1094261883E+08 149.624835 -38.327134
 2014-Jan-21 00:00     2.1028476454E+08 150.075397 -38.037991
 2014-Jan-22 00:00     2.0961799734E+08 150.525209 -37.745307
 2014-Jan-23 00:00     2.0894230346E+08 150.974315 -37.449037
 2014-Jan-24 00:00     2.0825766926E+08 151.422757 -37.149136
 2014-Jan-25 00:00     2.0756408119E+08 151.870581 -36.845559
 2014-Jan-26 00:00     2.0686152588E+08 152.317830 -36.538258
 2014-Jan-27 00:00     2.0614999011E+08 152.764551 -36.227183
 2014-Jan-28 00:00     2.0542946089E+08 153.210792 -35.912282
 2014-Jan-29 00:00     2.0469992542E+08 153.656600 -35.593504
 2014-Jan-30 00:00     2.0396137116E+08 154.102024 -35.270793
 2014-Jan-31 00:00     2.0321378585E+08 154.547115 -34.944093
 2014-Feb-01 00:00     2.0245715754E+08 154.991922 -34.613346
 2014-Feb-02 00:00     2.0169147463E+08 155.436499 -34.278492
 2014-Feb-03 00:00     2.0091672589E+08 155.880898 -33.939468
 2014-Feb-04 00:00     2.0013290050E+08 156.325175 -33.596210
 2014-Feb-05 00:00     1.9933998809E+08 156.769384 -33.248653
 2014-Feb-06 00:00     1.9853797881E+08 157.213584 -32.896727
 2014-Feb-07 00:00     1.9772686330E+08 157.657831 -32.540363
 2014-Feb-08 00:00     1.9690663283E+08 158.102186 -32.179487
 2014-Feb-09 00:00     1.9607727927E+08 158.546711 -31.814025
 2014-Feb-10 00:00     1.9523879517E+08 158.991467 -31.443898
 2014-Feb-11 00:00     1.9439117384E+08 159.436518 -31.069027
 2014-Feb-12 00:00     1.9353440935E+08 159.881932 -30.689329
 2014-Feb-13 00:00     1.9266849666E+08 160.327775 -30.304718
 2014-Feb-14 00:00     1.9179343163E+08 160.774116 -29.915107
 2014-Feb-15 00:00     1.9090921109E+08 161.221027 -29.520405
 2014-Feb-16 00:00     1.9001583296E+08 161.668580 -29.120518
 2014-Feb-17 00:00     1.8911329627E+08 162.116852 -28.715350
 2014-Feb-18 00:00     1.8820160129E+08 162.565919 -28.304799
 2014-Feb-19 00:00     1.8728074958E+08 163.015861 -27.888764
 2014-Feb-20 00:00     1.8635074408E+08 163.466760 -27.467139
 2014-Feb-21 00:00     1.8541158924E+08 163.918700 -27.039812
 2014-Feb-22 00:00     1.8446329110E+08 164.371768 -26.606671
 2014-Feb-23 00:00     1.8350585741E+08 164.826053 -26.167599
 2014-Feb-24 00:00     1.8253929770E+08 165.281649 -25.722475
 2014-Feb-25 00:00     1.8156362347E+08 165.738651 -25.271174
 2014-Feb-26 00:00     1.8057884830E+08 166.197157 -24.813569
 2014-Feb-27 00:00     1.7958498793E+08 166.657270 -24.349525
 2014-Feb-28 00:00     1.7858206050E+08 167.119095 -23.878907
 2014-Mar-01 00:00     1.7757008663E+08 167.582741 -23.401572
 2014-Mar-02 00:00     1.7654908962E+08 168.048322 -22.917374
 2014-Mar-03 00:00     1.7551909561E+08 168.515954 -22.426163
 2014-Mar-04 00:00     1.7448013377E+08 168.985760 -21.927783
 2014-Mar-05 00:00     1.7343223651E+08 169.457866 -21.422073
 2014-Mar-06 00:00     1.7237543966E+08 169.932403 -20.908868
 2014-Mar-07 00:00     1.7130978273E+08 170.409506 -20.387996
