*******************************************************************************
JPL/HORIZONS                     (2020 XX3)                2020-Dec-13 21:49:29
Rec #:50491847 (+COV) Soln.date: 2020-Dec-12_06:42:02        # obs: 22 (2 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459194.5 ! 2020-Dec-11.00 (TDB)         Residual RMS= .17006
   EC= .2183111608031454   QR= .9319618585513322   TP= 2459240.5826826529
   OM= 265.5846811037968   W=  226.1109749656881   IN= .6776668009531881
   A= 1.192241480009969    MA= 325.1104405477778   ADIST= 1.452521101468605
   PER= 1.30183            N= .7571078             ANGMOM= .01832988
   DAN= 1.33791            DDN= .98617             L= 131.6936638
   B= -.4883781            MOID= .00014255         TP= 2021-Jan-26.0826826529
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 28.57                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#1, OCC=7
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Dec 13 21:49:30 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2020 XX3)                      {source: JPL#1}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201211.p210304                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-11. PREDICTS-> 2021-MAR-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459194.5 ! 2020-Dec-11.00 (TDB)         Residual RMS= .17006        
   EC= .2183111608031454   QR= .9319618585513322   TP= 2459240.5826826529      
   OM= 265.5846811037968   W=  226.1109749656881   IN= .6776668009531881       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.958742088842660E-01  Y= 9.023647245039876E-01  Z= 3.927639362259389E-01
  VX=-1.846342728203876E-02 VY= 8.273330815961391E-04 VZ= 1.205699619141669E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 28.57                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     2.1511211467E+08  44.321794 -46.212247
 2014-Jan-02 00:00     2.1496944912E+08  44.864505 -46.557269
 2014-Jan-03 00:00     2.1482227896E+08  45.414876 -46.900149
 2014-Jan-04 00:00     2.1467060954E+08  45.973078 -47.240827
 2014-Jan-05 00:00     2.1451444638E+08  46.539287 -47.579239
 2014-Jan-06 00:00     2.1435379525E+08  47.113679 -47.915318
 2014-Jan-07 00:00     2.1418866208E+08  47.696434 -48.248998
 2014-Jan-08 00:00     2.1401905304E+08  48.287731 -48.580206
 2014-Jan-09 00:00     2.1384497451E+08  48.887754 -48.908869
 2014-Jan-10 00:00     2.1366643309E+08  49.496687 -49.234909
 2014-Jan-11 00:00     2.1348343561E+08  50.114716 -49.558247
 2014-Jan-12 00:00     2.1329598911E+08  50.742029 -49.878800
