*******************************************************************************
JPL/HORIZONS                      (2020 XY)                2020-Dec-16 20:15:37
Rec #:50492328 (+COV) Soln.date: 2020-Dec-12_05:24:32        # obs: 29 (7 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459193.5 ! 2020-Dec-10.00 (TDB)         Residual RMS= .29428
   EC= .4298348725831193   QR= 1.010054222914889   TP= 2459219.1383804828
   OM= 67.6249074972566    W=  38.80395486706168   IN= 2.266343394186567
   A= 1.771511750448358    MA= 349.2828673493907   ADIST= 2.532969277981826
   PER= 2.35789            N= .418011284           ANGMOM= .020672677
   DAN= 1.08183            DDN= 2.17164            L= 106.4069692
   B= 1.4199964            MOID= .0353964          TP= 2021-Jan-04.6383804828
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 25.647               G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#3, OCC=8
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Dec 16 20:15:37 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2020 XY)                       {source: JPL#3}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201216.p210309                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-DEC-16. PREDICTS-> 2021-MAR-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459193.5 ! 2020-Dec-10.00 (TDB)         Residual RMS= .29428        
   EC= .4298348725831193   QR= 1.010054222914889   TP= 2459219.1383804828      
   OM= 67.6249074972566    W=  38.80395486706168   IN= 2.266343394186567       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.286664547515974E-01  Y= 9.370529011316199E-01  Z= 4.139619576897814E-01
  VX=-1.985860676702925E-02 VY= 9.604524474906206E-04 VZ= 1.231030189767283E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 25.647               G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.5580841982E+08 209.051855  37.360030
 2014-Jan-02 00:00     1.5622772673E+08 209.861034  38.238377
 2014-Jan-03 00:00     1.5666249316E+08 210.685373  39.106300
 2014-Jan-04 00:00     1.5711247886E+08 211.525388  39.963446
 2014-Jan-05 00:00     1.5757743862E+08 212.381600  40.809462
 2014-Jan-06 00:00     1.5805712268E+08 213.254535  41.643997
 2014-Jan-07 00:00     1.5855127718E+08 214.144722  42.466701
 2014-Jan-08 00:00     1.5905964456E+08 215.052692  43.277225
 2014-Jan-09 00:00     1.5958196396E+08 215.978974  44.075222
 2014-Jan-10 00:00     1.6011797168E+08 216.924095  44.860343
 2014-Jan-11 00:00     1.6066740150E+08 217.888575  45.632242
 2014-Jan-12 00:00     1.6122998510E+08 218.872928  46.390572
 2014-Jan-13 00:00     1.6180545248E+08 219.877657  47.134987
 2014-Jan-14 00:00     1.6239353222E+08 220.903248  47.865144
 2014-Jan-15 00:00     1.6299395195E+08 221.950171  48.580697
 2014-Jan-16 00:00     1.6360643860E+08 223.018873  49.281303
 2014-Jan-17 00:00     1.6423071877E+08 224.109772  49.966619
 2014-Jan-18 00:00     1.6486651905E+08 225.223257  50.636306
 2014-Jan-19 00:00     1.6551356628E+08 226.359678  51.290023
 2014-Jan-20 00:00     1.6617158788E+08 227.519341  51.927435
 2014-Jan-21 00:00     1.6684031211E+08 228.702507  52.548207
 2014-Jan-22 00:00     1.6751946833E+08 229.909377  53.152011
 2014-Jan-23 00:00     1.6820878723E+08 231.140095  53.738520
 2014-Jan-24 00:00     1.6890800108E+08 232.394734  54.307416
 2014-Jan-25 00:00     1.6961684397E+08 233.673292  54.858386
 2014-Jan-26 00:00     1.7033505194E+08 234.975686  55.391124
 2014-Jan-27 00:00     1.7106236326E+08 236.301745  55.905336
 2014-Jan-28 00:00     1.7179851856E+08 237.651200  56.400737
 2014-Jan-29 00:00     1.7254326100E+08 239.023683  56.877058
 2014-Jan-30 00:00     1.7329633642E+08 240.418719  57.334039
 2014-Jan-31 00:00     1.7405749350E+08 241.835721  57.771442
 2014-Feb-01 00:00     1.7482648387E+08 243.273984  58.189045
 2014-Feb-02 00:00     1.7560306225E+08 244.732685  58.586646
 2014-Feb-03 00:00     1.7638698652E+08 246.210881  58.964067
 2014-Feb-04 00:00     1.7717801786E+08 247.707505  59.321155
 2014-Feb-05 00:00     1.7797592078E+08 249.221370  59.657782
 2014-Feb-06 00:00     1.7878046327E+08 250.751171  59.973852
 2014-Feb-07 00:00     1.7959141680E+08 252.295487  60.269296
 2014-Feb-08 00:00     1.8040855640E+08 253.852791  60.544080
 2014-Feb-09 00:00     1.8123166072E+08 255.421454  60.798204
 2014-Feb-10 00:00     1.8206051207E+08 256.999755  61.031703
 2014-Feb-11 00:00     1.8289489642E+08 258.585894  61.244649
 2014-Feb-12 00:00     1.8373460349E+08 260.178002  61.437149
 2014-Feb-13 00:00     1.8457942669E+08 261.774157  61.609352
 2014-Feb-14 00:00     1.8542916319E+08 263.372397  61.761440
 2014-Feb-15 00:00     1.8628361392E+08 264.970737  61.893636
 2014-Feb-16 00:00     1.8714258355E+08 266.567184  62.006196
 2014-Feb-17 00:00     1.8800588048E+08 268.159754  62.099416
 2014-Feb-18 00:00     1.8887331688E+08 269.746487  62.173623
 2014-Feb-19 00:00     1.8974470861E+08 271.325464  62.229179
 2014-Feb-20 00:00     1.9061987526E+08 272.894819  62.266473
 2014-Feb-21 00:00     1.9149864006E+08 274.452756  62.285925
 2014-Feb-22 00:00     1.9238082995E+08 275.997561  62.287982
 2014-Feb-23 00:00     1.9326627544E+08 277.527608  62.273109
 2014-Feb-24 00:00     1.9415481068E+08 279.041377  62.241797
 2014-Feb-25 00:00     1.9504627334E+08 280.537452  62.194549
 2014-Feb-26 00:00     1.9594050464E+08 282.014534  62.131886
 2014-Feb-27 00:00     1.9683734926E+08 283.471440  62.054340
 2014-Feb-28 00:00     1.9773665531E+08 284.907111  61.962448
 2014-Mar-01 00:00     1.9863827432E+08 286.320605  61.856758
 2014-Mar-02 00:00     1.9954206114E+08 287.711105  61.737816
 2014-Mar-03 00:00     2.0044787394E+08 289.077908  61.606171
 2014-Mar-04 00:00     2.0135557413E+08 290.420431  61.462371
 2014-Mar-05 00:00     2.0226502632E+08 291.738197  61.306956
 2014-Mar-06 00:00     2.0317609827E+08 293.030840  61.140465
 2014-Mar-07 00:00     2.0408866085E+08 294.298090  60.963425
 2014-Mar-08 00:00     2.0500258797E+08 295.539774  60.776355
 2014-Mar-09 00:00     2.0591775655E+08 296.755805  60.579763
 2014-Mar-10 00:00     2.0683404641E+08 297.946177  60.374145
 2014-Mar-11 00:00     2.0775134031E+08 299.110958  60.159984
 2014-Mar-12 00:00     2.0866952382E+08 300.250282  59.937749
 2014-Mar-13 00:00     2.0958848528E+08 301.364346  59.707895
 2014-Mar-14 00:00     2.1050811580E+08 302.453399  59.470861
 2014-Mar-15 00:00     2.1142830911E+08 303.517737  59.227071
 2014-Mar-16 00:00     2.1234896162E+08 304.557699  58.976934
 2014-Mar-17 00:00     2.1326997226E+08 305.573660  58.720843
 2014-Mar-18 00:00     2.1419124250E+08 306.566027  58.459176
 2014-Mar-19 00:00     2.1511267628E+08 307.535230  58.192292
 2014-Mar-20 00:00     2.1603417994E+08 308.481724  57.920540
 2014-Mar-21 00:00     2.1695566219E+08 309.405978  57.644250
 2014-Mar-22 00:00     2.1787703405E+08 310.308478  57.363738
 2014-Mar-23 00:00     2.1879820880E+08 311.189717  57.079306
 2014-Mar-24 00:00     2.1971910192E+08 312.050198  56.791241
 2014-Mar-25 00:00     2.2063963107E+08 312.890427  56.499817
 2014-Mar-26 00:00     2.2155971602E+08 313.710911  56.205295
 2014-Mar-27 00:00     2.2247927859E+08 314.512160  55.907921
 2014-Mar-28 00:00     2.2339824265E+08 315.294678  55.607931
 2014-Mar-29 00:00     2.2431653401E+08 316.058969  55.305548
 2014-Mar-30 00:00     2.2523408043E+08 316.805528  55.000983
 2014-Mar-31 00:00     2.2615081154E+08 317.534848  54.694437
 2014-Apr-01 00:00     2.2706665883E+08 318.247411  54.386099
 2014-Apr-02 00:00     2.2798155556E+08 318.943693  54.076150
 2014-Apr-03 00:00     2.2889543676E+08 319.624159  53.764760
 2014-Apr-04 00:00     2.2980823916E+08 320.289266  53.452089
 2014-Apr-05 00:00     2.3071990118E+08 320.939460  53.138289
