*******************************************************************************
JPL/HORIZONS                 5 Astraea (A845 XA)           2020-Sep-18 22:41:22
Rec #:       5 (+COV) Soln.date: 2020-May-20_00:55:47   # obs: 3034 (1845-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452058.5 ! 2001-May-29.00 (TDB)         Residual RMS= .27804
   EC= .1926481945158232   QR= 2.077891466334788   TP= 2451379.0671077962
   OM= 141.6906088617632   W=  357.6765035711989   IN= 5.36857652897516
   A= 2.573712540456456    MA= 162.1849621131074   ADIST= 3.069533614578125
   PER= 4.12903            N= .238706367           ANGMOM= .027080024
   DAN= 2.07817            DDN= 3.06893            L= 139.3773035
   B= -.2173317            MOID= 1.09056997        TP= 1999-Jul-19.5671077962
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 53.3495            ROTPER= 16.806
   H= 6.9                  G= .150                 B-V= .826
                           ALBEDO= .274            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#114, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Sep 18 22:41:22 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 5 Astraea (A845 XA)             {source: JPL#114}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : 53.3 km                                                      
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB431-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.200918.p201210                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-SEP-18. PREDICTS-> 2020-DEC-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452058.5 ! 2001-May-29.00 (TDB)         Residual RMS= .27804        
   EC= .1926481945158232   QR= 2.077891466334788   TP= 2451379.0671077962      
   OM= 141.6906088617632   W=  357.6765035711989   IN= 5.36857652897516        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.840634775022976E+00  Y=-2.262197741986918E+00  Z=-9.020036609538016E-01
  VX= 7.329362844675849E-03 VY= 4.860717326287397E-03 VZ= 1.243809908343458E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 53.3495            ROTPER= 16.806              
   H= 6.9                  G= .150                 B-V= .826                   
                           ALBEDO= .274            STYP= S                     
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     4.5898512149E+08  36.767810 -41.146684
 2014-Jan-02 00:00     4.5898979430E+08  36.897514 -41.279904
 2014-Jan-03 00:00     4.5899356947E+08  37.027746 -41.412974
 2014-Jan-04 00:00     4.5899644696E+08  37.158510 -41.545895
 2014-Jan-05 00:00     4.5899842676E+08  37.289811 -41.678666
 2014-Jan-06 00:00     4.5899950885E+08  37.421654 -41.811285
 2014-Jan-07 00:00     4.5899969322E+08  37.554042 -41.943753
 2014-Jan-08 00:00     4.5899897985E+08  37.686982 -42.076068
 2014-Jan-09 00:00     4.5899736874E+08  37.820478 -42.208230
 2014-Jan-10 00:00     4.5899485989E+08  37.954533 -42.340237
 2014-Jan-11 00:00     4.5899145330E+08  38.089154 -42.472089
 2014-Jan-12 00:00     4.5898714898E+08  38.224346 -42.603784
 2014-Jan-13 00:00     4.5898194693E+08  38.360112 -42.735323
 2014-Jan-14 00:00     4.5897584717E+08  38.496458 -42.866704
 2014-Jan-15 00:00     4.5896884973E+08  38.633389 -42.997926
 2014-Jan-16 00:00     4.5896095461E+08  38.770911 -43.128988
 2014-Jan-17 00:00     4.5895216184E+08  38.909027 -43.259890
 2014-Jan-18 00:00     4.5894247147E+08  39.047744 -43.390629
 2014-Jan-19 00:00     4.5893188351E+08  39.187065 -43.521206
 2014-Jan-20 00:00     4.5892039800E+08  39.326998 -43.651619
 2014-Jan-21 00:00     4.5890801499E+08  39.467546 -43.781868
 2014-Jan-22 00:00     4.5889473453E+08  39.608715 -43.911950
 2014-Jan-23 00:00     4.5888055665E+08  39.750511 -44.041866
 2014-Jan-24 00:00     4.5886548143E+08  39.892938 -44.171613
 2014-Jan-25 00:00     4.5884950890E+08  40.036002 -44.301192
 2014-Jan-26 00:00     4.5883263913E+08  40.179709 -44.430600
 2014-Jan-27 00:00     4.5881487220E+08  40.324064 -44.559837
 2014-Jan-28 00:00     4.5879620816E+08  40.469073 -44.688902
 2014-Jan-29 00:00     4.5877664709E+08  40.614741 -44.817792
 2014-Jan-30 00:00     4.5875618906E+08  40.761074 -44.946508
 2014-Jan-31 00:00     4.5873483416E+08  40.908077 -45.075048
 2014-Feb-01 00:00     4.5871258248E+08  41.055756 -45.203410
 2014-Feb-02 00:00     4.5868943409E+08  41.204117 -45.331594
 2014-Feb-03 00:00     4.5866538910E+08  41.353166 -45.459598
 2014-Feb-04 00:00     4.5864044760E+08  41.502909 -45.587420
 2014-Feb-05 00:00     4.5861460969E+08  41.653351 -45.715060
 2014-Feb-06 00:00     4.5858787548E+08  41.804498 -45.842517
 2014-Feb-07 00:00     4.5856024506E+08  41.956357 -45.969787
 2014-Feb-08 00:00     4.5853171857E+08  42.108933 -46.096872
 2014-Feb-09 00:00     4.5850229611E+08  42.262233 -46.223768
 2014-Feb-10 00:00     4.5847197780E+08  42.416263 -46.350475
 2014-Feb-11 00:00     4.5844076377E+08  42.571028 -46.476991
 2014-Feb-12 00:00     4.5840865415E+08  42.726535 -46.603314
 2014-Feb-13 00:00     4.5837564907E+08  42.882791 -46.729444
 2014-Feb-14 00:00     4.5834174866E+08  43.039801 -46.855378
 2014-Feb-15 00:00     4.5830695308E+08  43.197573 -46.981115
 2014-Feb-16 00:00     4.5827126245E+08  43.356111 -47.106653
 2014-Feb-17 00:00     4.5823467694E+08  43.515424 -47.231992
 2014-Feb-18 00:00     4.5819719669E+08  43.675517 -47.357128
 2014-Feb-19 00:00     4.5815882186E+08  43.836397 -47.482061
 2014-Feb-20 00:00     4.5811955262E+08  43.998070 -47.606789
 2014-Feb-21 00:00     4.5807938912E+08  44.160544 -47.731311
 2014-Feb-22 00:00     4.5803833155E+08  44.323824 -47.855623
 2014-Feb-23 00:00     4.5799638006E+08  44.487919 -47.979726
 2014-Feb-24 00:00     4.5795353484E+08  44.652833 -48.103616
 2014-Feb-25 00:00     4.5790979607E+08  44.818575 -48.227293
 2014-Feb-26 00:00     4.5786516393E+08  44.985151 -48.350754
 2014-Feb-27 00:00     4.5781963862E+08  45.152568 -48.473997
 2014-Feb-28 00:00     4.5777322033E+08  45.320834 -48.597021
 2014-Mar-01 00:00     4.5772590926E+08  45.489954 -48.719823
 2014-Mar-02 00:00     4.5767770561E+08  45.659937 -48.842403
 2014-Mar-03 00:00     4.5762860959E+08  45.830790 -48.964757
 2014-Mar-04 00:00     4.5757862140E+08  46.002518 -49.086884
 2014-Mar-05 00:00     4.5752774126E+08  46.175131 -49.208781
 2014-Mar-06 00:00     4.5747596940E+08  46.348635 -49.330447
 2014-Mar-07 00:00     4.5742330603E+08  46.523037 -49.451880
 2014-Mar-08 00:00     4.5736975139E+08  46.698345 -49.573077
 2014-Mar-09 00:00     4.5731530570E+08  46.874567 -49.694037
 2014-Mar-10 00:00     4.5725996920E+08  47.051709 -49.814756
 2014-Mar-11 00:00     4.5720374213E+08  47.229780 -49.935234
 2014-Mar-12 00:00     4.5714662473E+08  47.408786 -50.055467
 2014-Mar-13 00:00     4.5708861727E+08  47.588736 -50.175453
 2014-Mar-14 00:00     4.5702971997E+08  47.769637 -50.295191
 2014-Mar-15 00:00     4.5696993312E+08  47.951497 -50.414677
 2014-Mar-16 00:00     4.5690925696E+08  48.134323 -50.533910
 2014-Mar-17 00:00     4.5684769176E+08  48.318124 -50.652887
 2014-Mar-18 00:00     4.5678523779E+08  48.502908 -50.771605
 2014-Mar-19 00:00     4.5672189534E+08  48.688681 -50.890062
 2014-Mar-20 00:00     4.5665766467E+08  48.875453 -51.008256
 2014-Mar-21 00:00     4.5659254607E+08  49.063230 -51.126183
 2014-Mar-22 00:00     4.5652653983E+08  49.252022 -51.243842
 2014-Mar-23 00:00     4.5645964625E+08  49.441836 -51.361230
 2014-Mar-24 00:00     4.5639186561E+08  49.632681 -51.478344
 2014-Mar-25 00:00     4.5632319822E+08  49.824564 -51.595182
 2014-Mar-26 00:00     4.5625364438E+08  50.017494 -51.711740
 2014-Mar-27 00:00     4.5618320441E+08  50.211478 -51.828016
 2014-Mar-28 00:00     4.5611187862E+08  50.406526 -51.944007
 2014-Mar-29 00:00     4.5603966733E+08  50.602646 -52.059710
 2014-Mar-30 00:00     4.5596657086E+08  50.799845 -52.175123
 2014-Mar-31 00:00     4.5589258954E+08  50.998133 -52.290242
 2014-Apr-01 00:00     4.5581772370E+08  51.197517 -52.405065
 2014-Apr-02 00:00     4.5574197369E+08  51.398007 -52.519588
 2014-Apr-03 00:00     4.5566533983E+08  51.599610 -52.633809
 2014-Apr-04 00:00     4.5558782249E+08  51.802336 -52.747724
 2014-Apr-05 00:00     4.5550942200E+08  52.006192 -52.861330
 2014-Apr-06 00:00     4.5543013873E+08  52.211188 -52.974625
 2014-Apr-07 00:00     4.5534997304E+08  52.417332 -53.087604
 2014-Apr-08 00:00     4.5526892529E+08  52.624633 -53.200265
 2014-Apr-09 00:00     4.5518699584E+08  52.833099 -53.312604
 2014-Apr-10 00:00     4.5510418508E+08  53.042739 -53.424619
 2014-Apr-11 00:00     4.5502049339E+08  53.253561 -53.536305
 2014-Apr-12 00:00     4.5493592114E+08  53.465576 -53.647659
 2014-Apr-13 00:00     4.5485046872E+08  53.678791 -53.758679
 2014-Apr-14 00:00     4.5476413654E+08  53.893215 -53.869359
 2014-Apr-15 00:00     4.5467692498E+08  54.108857 -53.979697
 2014-Apr-16 00:00     4.5458883444E+08  54.325726 -54.089690
 2014-Apr-17 00:00     4.5449986535E+08  54.543830 -54.199332
 2014-Apr-18 00:00     4.5441001810E+08  54.763180 -54.308622
 2014-Apr-19 00:00     4.5431929313E+08  54.983782 -54.417555
 2014-Apr-20 00:00     4.5422769084E+08  55.205647 -54.526127
 2014-Apr-21 00:00     4.5413521166E+08  55.428783 -54.634334
 2014-Apr-22 00:00     4.5404185603E+08  55.653199 -54.742173
 2014-Apr-23 00:00     4.5394762439E+08  55.878904 -54.849640
 2014-Apr-24 00:00     4.5385251717E+08  56.105907 -54.956730
 2014-Apr-25 00:00     4.5375653483E+08  56.334217 -55.063440
 2014-Apr-26 00:00     4.5365967781E+08  56.563843 -55.169766
 2014-Apr-27 00:00     4.5356194657E+08  56.794793 -55.275703
 2014-Apr-28 00:00     4.5346334157E+08  57.027077 -55.381247
 2014-Apr-29 00:00     4.5336386329E+08  57.260703 -55.486394
 2014-Apr-30 00:00     4.5326351218E+08  57.495680 -55.591141
 2014-May-01 00:00     4.5316228874E+08  57.732017 -55.695481
 2014-May-02 00:00     4.5306019344E+08  57.969723 -55.799412
 2014-May-03 00:00     4.5295722676E+08  58.208807 -55.902929
 2014-May-04 00:00     4.5285338921E+08  58.449277 -56.006026
 2014-May-05 00:00     4.5274868128E+08  58.691142 -56.108701
 2014-May-06 00:00     4.5264310346E+08  58.934411 -56.210948
 2014-May-07 00:00     4.5253665628E+08  59.179092 -56.312762
 2014-May-08 00:00     4.5242934024E+08  59.425195 -56.414139
 2014-May-09 00:00     4.5232115586E+08  59.672727 -56.515074
 2014-May-10 00:00     4.5221210367E+08  59.921697 -56.615562
 2014-May-11 00:00     4.5210218419E+08  60.172114 -56.715599
 2014-May-12 00:00     4.5199139797E+08  60.423986 -56.815180
 2014-May-13 00:00     4.5187974553E+08  60.677322 -56.914299
 2014-May-14 00:00     4.5176722743E+08  60.932129 -57.012951
 2014-May-15 00:00     4.5165384422E+08  61.188416 -57.111133
 2014-May-16 00:00     4.5153959645E+08  61.446191 -57.208837
 2014-May-17 00:00     4.5142448468E+08  61.705463 -57.306061
 2014-May-18 00:00     4.5130850949E+08  61.966238 -57.402797
 2014-May-19 00:00     4.5119167144E+08  62.228526 -57.499041
 2014-May-20 00:00     4.5107397112E+08  62.492334 -57.594788
