*******************************************************************************
JPL/HORIZONS                     (2021 AH8)                2021-May-28 12:02:07
Rec #:50525850 (+COV) Soln.date: 2021-Apr-15_23:23:06         # obs: 8 (1 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459220.5 ! 2021-Jan-06.00 (TDB)         Residual RMS= .13873
   EC= .7911026305898735   QR= .4601100943743441   TP= 2459175.4915047265
   OM= 284.2127036537186   W=  78.34121620330441   IN= 5.611925475180835
   A= 2.202565286837163    MA= 13.57079787923771   ADIST= 3.945020479299982
   PER= 3.2689             N= .301516356           ANGMOM= .015616099
   DAN= .71052             DDN= .98092             L= 2.4993189
   B= 5.4957825            MOID= .00020107         TP= 2020-Nov-21.9915047265
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 29.59                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#2, OCC=9
2: source=ORB
*******************************************************************************
 
  
*******************************************************************************
Ephemeris / WWW_USER Fri May 28 12:02:07 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2021 AH8)                      {source: JPL#2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
