*******************************************************************************
JPL/HORIZONS                      (2021 BO)                2021-May-28 11:47:10
Rec #:50526199 (+COV) Soln.date: 2021-Apr-15_23:24:02        # obs: 40 (1 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459232.5 ! 2021-Jan-18.00 (TDB)         Residual RMS= .30684
   EC= .1770784882578265   QR= .834042740880674    TP= 2459305.8331633168
   OM= 297.803853476591    W=  271.0927903021984   IN= 2.154462881414356
   A= 1.01351432546095     MA= 289.1630822812534   ADIST= 1.192985910041226
   PER= 1.02036            N= .965960182           ANGMOM= .017044266
   DAN= .97843             DDN= .98506             L= 208.8974266
   B= -2.1540708           MOID= .00021339         TP= 2021-Apr-01.3331633168
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 32.95                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#4, OCC=4
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri May 28 11:47:10 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2021 BO)                       {source: JPL#4}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210527.p210818                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAY-27. PREDICTS-> 2021-AUG-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459232.5 ! 2021-Jan-18.00 (TDB)         Residual RMS= .30684        
   EC= .1770784882578265   QR= .834042740880674    TP= 2459305.8331633168      
   OM= 297.803853476591    W=  271.0927903021984   IN= 2.154462881414356       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-4.598113724061462E-01  Y= 7.992020246168190E-01  Z= 3.464794118324506E-01
  VX=-1.385715622070537E-02 VY=-9.641345052066468E-03 VZ=-4.889011119406901E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 32.95                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.3494745991E+08 230.065041  48.848141
 2014-Jan-02 00:00     1.3460204963E+08 231.543345  49.565440
 2014-Jan-03 00:00     1.3426183732E+08 233.073066  50.266885
 2014-Jan-04 00:00     1.3392700226E+08 234.655945  50.951058
 2014-Jan-05 00:00     1.3359772337E+08 236.293621  51.616458
 2014-Jan-06 00:00     1.3327417909E+08 237.987596  52.261511
 2014-Jan-07 00:00     1.3295654714E+08 239.739185  52.884564
 2014-Jan-08 00:00     1.3264500433E+08 241.549477  53.483893
 2014-Jan-09 00:00     1.3233972639E+08 243.419280  54.057710
 2014-Jan-10 00:00     1.3204088776E+08 245.349060  54.604168
 2014-Jan-11 00:00     1.3174866136E+08 247.338892  55.121372
 2014-Jan-12 00:00     1.3146321841E+08 249.388389  55.607393
 2014-Jan-13 00:00     1.3118472818E+08 251.496652  56.060281
 2014-Jan-14 00:00     1.3091335780E+08 253.662212  56.478086
 2014-Jan-15 00:00     1.3064927203E+08 255.882977  56.858880
 2014-Jan-16 00:00     1.3039263303E+08 258.156201  57.200778
 2014-Jan-17 00:00     1.3014360012E+08 260.478452  57.501963
 2014-Jan-18 00:00     1.2990232958E+08 262.845611  57.760717
 2014-Jan-19 00:00     1.2966897440E+08 265.252880  57.975448
 2014-Jan-20 00:00     1.2944368405E+08 267.694816  58.144715
 2014-Jan-21 00:00     1.2922660428E+08 270.165397  58.267258
 2014-Jan-22 00:00     1.2901787682E+08 272.658097  58.342022
 2014-Jan-23 00:00     1.2881763925E+08 275.165991  58.368176
 2014-Jan-24 00:00     1.2862602470E+08 277.681877  58.345131
 2014-Jan-25 00:00     1.2844316166E+08 280.198413  58.272551
 2014-Jan-26 00:00     1.2826917375E+08 282.708250  58.150358
 2014-Jan-27 00:00     1.2810417954E+08 285.204182  57.978732
 2014-Jan-28 00:00     1.2794829228E+08 287.679274  57.758105
 2014-Jan-29 00:00     1.2780161979E+08 290.126986  57.489146
 2014-Jan-30 00:00     1.2766426417E+08 292.541276  57.172749
 2014-Jan-31 00:00     1.2753632169E+08 294.916687  56.810007
 2014-Feb-01 00:00     1.2741788256E+08 297.248400  56.402190
 2014-Feb-02 00:00     1.2730903081E+08 299.532274  55.950723
 2014-Feb-03 00:00     1.2720984410E+08 301.764860  55.457151
 2014-Feb-04 00:00     1.2712039356E+08 303.943389  54.923124
 2014-Feb-05 00:00     1.2704074370E+08 306.065757  54.350359
 2014-Feb-06 00:00     1.2697095225E+08 308.130476  53.740629
 2014-Feb-07 00:00     1.2691107005E+08 310.136635  53.095730
 2014-Feb-08 00:00     1.2686114098E+08 312.083837  52.417471
 2014-Feb-09 00:00     1.2682120183E+08 313.972148  51.707651
 2014-Feb-10 00:00     1.2679128225E+08 315.802030  50.968049
 2014-Feb-11 00:00     1.2677140471E+08 317.574287  50.200410
 2014-Feb-12 00:00     1.2676158442E+08 319.290007  49.406434
 2014-Feb-13 00:00     1.2676182932E+08 320.950507  48.587774
 2014-Feb-14 00:00     1.2677214005E+08 322.557293  47.746028
 2014-Feb-15 00:00     1.2679250997E+08 324.112008  46.882731
 2014-Feb-16 00:00     1.2682292516E+08 325.616402  45.999361
 2014-Feb-17 00:00     1.2686336445E+08 327.072294  45.097330
 2014-Feb-18 00:00     1.2691379945E+08 328.481546  44.177989
 2014-Feb-19 00:00     1.2697419464E+08 329.846043  43.242624
 2014-Feb-20 00:00     1.2704450740E+08 331.167665  42.292464
 2014-Feb-21 00:00     1.2712468810E+08 332.448281  41.328674
 2014-Feb-22 00:00     1.2721468025E+08 333.689727  40.352362
 2014-Feb-23 00:00     1.2731442052E+08 334.893802  39.364581
 2014-Feb-24 00:00     1.2742383896E+08 336.062260  38.366331
 2014-Feb-25 00:00     1.2754285904E+08 337.196800  37.358558
 2014-Feb-26 00:00     1.2767139787E+08 338.299064  36.342162
 2014-Feb-27 00:00     1.2780936632E+08 339.370637  35.317994
 2014-Feb-28 00:00     1.2795666918E+08 340.413041  34.286863
 2014-Mar-01 00:00     1.2811320536E+08 341.427738  33.249536
 2014-Mar-02 00:00     1.2827886806E+08 342.416128  32.206737
 2014-Mar-03 00:00     1.2845354497E+08 343.379550  31.159157
 2014-Mar-04 00:00     1.2863711846E+08 344.319283  30.107449
 2014-Mar-05 00:00     1.2882946577E+08 345.236550  29.052231
 2014-Mar-06 00:00     1.2903045926E+08 346.132515  27.994093
 2014-Mar-07 00:00     1.2923996660E+08 347.008292  26.933590
 2014-Mar-08 00:00     1.2945785099E+08 347.864938  25.871253
 2014-Mar-09 00:00     1.2968397141E+08 348.703464  24.807582
 2014-Mar-10 00:00     1.2991818280E+08 349.524832  23.743054
 2014-Mar-11 00:00     1.3016033633E+08 350.329959  22.678122
 2014-Mar-12 00:00     1.3041027960E+08 351.119719  21.613213
 2014-Mar-13 00:00     1.3066785690E+08 351.894945  20.548735
 2014-Mar-14 00:00     1.3093290940E+08 352.656432  19.485074
 2014-Mar-15 00:00     1.3120527543E+08 353.404939  18.422596
 2014-Mar-16 00:00     1.3148479065E+08 354.141189  17.361649
