*******************************************************************************
JPL/HORIZONS                     (2021 CZ3)                2021-May-28 11:22:16
Rec #:50526543 (+COV) Soln.date: 2021-Apr-15_23:25:07        # obs: 42 (1 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459255.5 ! 2021-Feb-10.00 (TDB)         Residual RMS= .50513
   EC= .3160676730302928   QR= .756252270899104    TP= 2459191.9952938193
   OM= 140.1216720872927   W=  271.7084215439619   IN= 4.570810244452469
   A= 1.105741373930699    MA= 53.83065259153083   ADIST= 1.455230476962294
   PER= 1.16276            N= .847663966           ANGMOM= .017161447
   DAN= .98599             DDN= 1.00475            L= 51.8355512
   B= -4.5687741           MOID= .00017884         TP= 2020-Dec-08.4952938193
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 31.                  G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#5, OCC=6
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri May 28 11:22:16 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2021 CZ3)                      {source: JPL#5}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210527.p210818                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAY-27. PREDICTS-> 2021-AUG-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459255.5 ! 2021-Feb-10.00 (TDB)         Residual RMS= .50513        
   EC= .3160676730302928   QR= .756252270899104    TP= 2459191.9952938193      
   OM= 140.1216720872927   W=  271.7084215439619   IN= 4.570810244452469       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-7.724569891411389E-01  Y= 5.699608714976805E-01  Z= 2.486816466033636E-01
  VX=-1.506099187749176E-02 VY=-9.746227433002007E-03 VZ=-2.713956418366531E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 31.                  G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.3812980950E+08  61.395629 -59.515582
 2014-Jan-02 00:00     1.3746581084E+08  63.220950 -60.237957
 2014-Jan-03 00:00     1.3680673782E+08  65.145797 -60.940735
 2014-Jan-04 00:00     1.3615291643E+08  67.175433 -61.621169
 2014-Jan-05 00:00     1.3550467879E+08  69.314846 -62.276261
 2014-Jan-06 00:00     1.3486236295E+08  71.568562 -62.902766
 2014-Jan-07 00:00     1.3422631278E+08  73.940402 -63.497185
 2014-Jan-08 00:00     1.3359687773E+08  76.433210 -64.055788
 2014-Jan-09 00:00     1.3297441264E+08  79.048533 -64.574628
 2014-Jan-10 00:00     1.3235927747E+08  81.786279 -65.049586
 2014-Jan-11 00:00     1.3175183705E+08  84.644367 -65.476421
 2014-Jan-12 00:00     1.3115246075E+08  87.618390 -65.850844
 2014-Jan-13 00:00     1.3056152217E+08  90.701335 -66.168604
 2014-Jan-14 00:00     1.2997939871E+08  93.883395 -66.425594
 2014-Jan-15 00:00     1.2940647123E+08  97.151917 -66.617965
