*******************************************************************************
JPL/HORIZONS                     (2021 EN4)                2021-May-28 12:04:58
Rec #:50527492 (+COV) Soln.date: 2021-Apr-15_23:26:42        # obs: 23 (1 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459289.5 ! 2021-Mar-16.00 (TDB)         Residual RMS= .37217
   EC= .757996441334828    QR= .7926117537607724   TP= 2459251.895744462
   OM= 174.6326929787979   W=  301.7774001932329   IN= 5.663458981255228
   A= 3.275207018163743    MA= 6.252920905699648   ADIST= 5.757802282566715
   PER= 5.92743            N= .166282264           ANGMOM= .020305827
   DAN= .99588             DDN= 2.31916            L= 116.5357523
   B= -4.8123286           MOID= .00029622         TP= 2021-Feb-06.3957444620
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 29.68                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#3, OCC=7
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri May 28 12:04:58 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2021 EN4)                      {source: JPL#3}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210527.p210818                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAY-27. PREDICTS-> 2021-AUG-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
