*******************************************************************************
JPL/HORIZONS                     (2021 GW16)               2021-May-28 11:55:35
Rec #:50529452 (+COV) Soln.date: 2021-Apr-17_10:42:02        # obs: 13 (1 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459320.5 ! 2021-Apr-16.00 (TDB)         Residual RMS= .53108
   EC= .4626584639147531   QR= .824798712087722    TP= 2459273.1917358558
   OM= 24.96028727917874   W=  115.8519231539232   IN= 6.34904673819465
   A= 1.534961763977373    MA= 24.51854782916268   ADIST= 2.245124815867025
   PER= 1.90175            N= .518271968           ANGMOM= .01889413
   DAN= 1.51129            DDN= 1.00388            L= 140.9507969
   B= 5.7114273            MOID= .00018214         TP= 2021-Feb-27.6917358558
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 30.1                 G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#1, OCC=7
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri May 28 11:55:36 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2021 GW16)                     {source: JPL#1}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210527.p210818                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAY-27. PREDICTS-> 2021-AUG-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459320.5 ! 2021-Apr-16.00 (TDB)         Residual RMS= .53108        
   EC= .4626584639147531   QR= .824798712087722    TP= 2459273.1917358558      
   OM= 24.96028727917874   W=  115.8519231539232   IN= 6.34904673819465        
