*******************************************************************************
JPL/HORIZONS                     (2021 GW4)                2021-May-28 11:52:59
Rec #:50529174 (+COV) Soln.date: 2021-Apr-15_07:01:18        # obs: 40 (4 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459314.5 ! 2021-Apr-10.00 (TDB)         Residual RMS= .17737
   EC= .3555924682136914   QR= .9769115603248548   TP= 2459338.9428111576
   OM= 201.4792966183061   W=  26.64400993098895   IN= .7405220093339596
   A= 1.515984081714314    MA= 347.0933579759269   ADIST= 2.055056603103774
   PER= 1.8666             N= .528034258           ANGMOM= .019795827
   DAN= 1.0049             DDN= 1.9413             L= 228.1213884
   B= .3320766             MOID= .00023054         TP= 2021-May-04.4428111576
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 29.47                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#6, OCC=6
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri May 28 11:53:00 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2021 GW4)                      {source: JPL#6}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210527.p210818                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAY-27. PREDICTS-> 2021-AUG-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
