*******************************************************************************
JPL/HORIZONS                     (2021 JQ2)                2021-May-28 12:04:04
Rec #:50531328 (+COV) Soln.date: 2021-May-08_16:42:02        # obs: 36 (1 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459342.5 ! 2021-May-08.00 (TDB)         Residual RMS= 1.1915
   EC= .2464898996017674   QR= .6800169108076546   TP= 2459435.4416131186
   OM= 47.88612393389097   W=  310.4104658803111   IN= 8.682012251385027
   A= .9024655548057861    MA= 253.1515251023939   ADIST= 1.124914198803918
   PER= .85734             N= 1.149630056          ANGMOM= .015837465
   DAN= .73085             DDN= 1.00884            L= 358.6228268
   B= -6.5999732           MOID= .00027315         TP= 2021-Aug-08.9416131186
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 29.994               G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#1, OCC=4
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri May 28 12:04:04 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2021 JQ2)                      {source: JPL#1}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210527.p210818                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAY-27. PREDICTS-> 2021-AUG-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459342.5 ! 2021-May-08.00 (TDB)         Residual RMS= 1.1915        
   EC= .2464898996017674   QR= .6800169108076546   TP= 2459435.4416131186      
   OM= 47.88612393389097   W=  310.4104658803111   IN= 8.682012251385027       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-6.847651813813034E-01  Y=-6.828696408041145E-01  Z=-2.945197696702516E-01
  VX= 1.374709973345636E-02 VY=-6.336326256756401E-03 VZ=-5.329870487670246E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 29.994               G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     1.2168851343E+08 175.527344 -10.661374
 2014-Jan-02 00:00     1.2233991063E+08 176.086570  -9.410398
 2014-Jan-03 00:00     1.2299432082E+08 176.635856  -8.171889
 2014-Jan-04 00:00     1.2365134740E+08 177.175939  -6.945835
 2014-Jan-05 00:00     1.2431060428E+08 177.707509  -5.732206
 2014-Jan-06 00:00     1.2497171589E+08 178.231214  -4.530958
 2014-Jan-07 00:00     1.2563431713E+08 178.747664  -3.342034
 2014-Jan-08 00:00     1.2629805326E+08 179.257435  -2.165365
 2014-Jan-09 00:00     1.2696257988E+08 179.761069  -1.000870
 2014-Jan-10 00:00     1.2762756273E+08 180.259082   0.151539
 2014-Jan-11 00:00     1.2829267763E+08 180.751962   1.291961
 2014-Jan-12 00:00     1.2895761031E+08 181.240173   2.420498
 2014-Jan-13 00:00     1.2962205624E+08 181.724158   3.537263
 2014-Jan-14 00:00     1.3028572046E+08 182.204340   4.642371
 2014-Jan-15 00:00     1.3094831743E+08 182.681124   5.735944
 2014-Jan-16 00:00     1.3160957080E+08 183.154899   6.818105
 2014-Jan-17 00:00     1.3226921324E+08 183.626037   7.888984
 2014-Jan-18 00:00     1.3292698623E+08 184.094901   8.948710
 2014-Jan-19 00:00     1.3358263985E+08 184.561837   9.997416
 2014-Jan-20 00:00     1.3423593258E+08 185.027183  11.035236
 2014-Jan-21 00:00     1.3488663110E+08 185.491267  12.062304
 2014-Jan-22 00:00     1.3553451003E+08 185.954408  13.078756
 2014-Jan-23 00:00     1.3617935177E+08 186.416918  14.084728
