*******************************************************************************
JPL/HORIZONS                     (2021 JU6)                2021-May-28 12:03:10
Rec #:50531429 (+COV) Soln.date: 2021-May-15_06:33:27        # obs: 18 (8 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2459342.5 ! 2021-May-08.00 (TDB)         Residual RMS= .23547
   EC= .5375709531946515   QR= .9527991875453308   TP= 2459375.5469732848
   OM= 53.61909269878011   W=  213.4706683835942   IN= 9.031769703547418
   A= 2.060422445622009    MA= 348.9871086455263   ADIST= 3.168045703698688
   PER= 2.95762            N= .333249613           ANGMOM= .02082091
   DAN= 2.65602            DDN= 1.01144            L= 266.7617235
   B= -4.966727            MOID= .00041807         TP= 2021-Jun-10.0469732848
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 27.369               G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.
 
ASTEROID comments: 
1: soln ref.= JPL#2, OCC=7
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri May 28 12:03:10 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2021 JU6)                      {source: JPL#2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : (undefined)                                                  
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210527.p210818                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAY-27. PREDICTS-> 2021-AUG-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459342.5 ! 2021-May-08.00 (TDB)         Residual RMS= .23547        
   EC= .5375709531946515   QR= .9527991875453308   TP= 2459375.5469732848      
   OM= 53.61909269878011   W=  213.4706683835942   IN= 9.031769703547418       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-7.192550563009155E-01  Y=-6.992800760621465E-01  Z=-2.802377855584567E-01
  VX= 1.768794087384889E-02 VY=-7.960961467543144E-03 VZ=-6.953454240911214E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 27.369               G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
 Date__(UT)__HR:MN                delta     GlxLon     GlxLat
*************************************************************
$$SOE
 2014-Jan-01 00:00     4.7297367139E+08 179.623029  -2.406742
 2014-Jan-02 00:00     4.7301484552E+08 179.668446  -2.296649
 2014-Jan-03 00:00     4.7305364517E+08 179.713848  -2.186573
 2014-Jan-04 00:00     4.7309007059E+08 179.759237  -2.076513
